公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-28 10:09:27,三年狂飙！「AIGC第一股」纯软件营收产品交付破2.2亿，暴增88.5%跑通全球,出门问问2024年AIGC业务营收增长报告,出门问问发布的2024年财报显示，其AIGC纯软件产品收入突破2.2亿元，同比增长88.5%。公司通过产模结合战略，成功实现国际化增长，用户遍布全球。自2022年至2024年，AIGC收入增长了6倍，显示出可持续的商业模式和强劲的市场需求。出门问问在AI智能体、大模型和数字人等领域持续领跑，构建了多样化的AIGC产品矩阵，展现了技术商业化的成功。,Other,Google,None,https://mp.weixin.qq.com/s/XMKdk8u6qE9pUtPENsxmxQ
新智元,2025-03-28 10:09:27,OpenAI破大防，拒绝率从98%骤降2%！陈怡然团队提出全新思维链劫持攻击,思维链劫持攻击：OpenAI大型推理模型的安全漏洞分析,本文探讨了一种新提出的攻击方法——思维链劫持（H-CoT），该方法成功攻破了OpenAI及其他大型推理模型的安全防线。研究表明，模型的安全审查透明化反而暴露了其弱点，使得拒绝率从98%骤降至2%。文章分析了H-CoT攻击的原理、实施步骤及其对模型安全性的影响，并讨论了大型推理模型在安全机制上的挑战与改进方向。,LLM,OpenAI,"陈怡然, 郭士霆, 张健一",https://mp.weixin.qq.com/s/DzBA-WWpQ3jkBkDxGQP0xg
新智元,2025-03-28 10:09:27,大模型不再是路痴！空间推理的答案是RAG：旅游规划、附近推荐全解锁,Spatial-RAG: Enhancing Spatial Reasoning with Retrieval-Augmented Generation,本文介绍了Spatial-RAG框架，该框架结合了空间数据库与大型语言模型（LLM），旨在解决复杂的空间推理问题。通过稀疏和密集检索的结合，Spatial-RAG能够高效检索空间对象，并利用LLM的语义理解能力进行排序和生成答案。该研究展示了如何弥合空间问答与自然语言之间的差距，提升LLM在空间推理任务中的表现，具有广泛的应用前景，包括旅游规划和附近推荐。,LLM,Other,None,https://mp.weixin.qq.com/s/TDNJubGUKFUxu9-31vy8xg
机器之心,2025-03-28 09:57:40,3D基础模型时代开启？Meta与牛津大学推出VGGT，一站式Transformer开创高效3D视觉新范式,Meta与牛津大学推出VGGT：一种高效的3D视觉Transformer模型,VGGT（Visual Geometry Grounded Transformer）是由牛津大学VGG团队与Meta AI联合发布的一种新型3D视觉模型。该模型基于纯前馈Transformer架构，能够从单张或多张图像中快速推理出相机参数、深度图、点云和3D轨迹等几何信息，且无需后处理优化。VGGT在多个3D任务中表现优异，推理速度显著提升，标志着3D视觉领域可能进入基础模型的新阶段。,Other,Meta,None,https://mp.weixin.qq.com/s/GxHFpe0jacMQYVN1R7Yl7A
机器之心,2025-03-28 09:57:40,GPT-4o的P图太火了，GPU在融化，官方终于限流了,OpenAI限制GPT-4o图像生成功能以应对高负载,OpenAI的GPT-4o图像生成功能在上线72小时内遭遇高负载，导致生成速度显著下降。CEO山姆·奥特曼宣布将暂时限制该功能，以优化效率。尽管付费用户仍可使用该功能，免费用户将在未来几周内获得相同权限。GPT-4o的图像生成能力超出预期，结合了更复杂的推理和计算，展现出强大的多模态能力，但也面临版权和生成速度等问题。,Multimodal LLM,OpenAI,Sam Altman,https://mp.weixin.qq.com/s/dk0sjrguak6s-umZyovYSQ
量子位,2025-03-28 09:07:24,招聘｜量子位智库AI分析师,量子位智库招聘AI分析师,量子位智库现招聘AI分析师与助理分析师，聚焦于AIGC领域的产业研究与数据分析。AI分析师需撰写深度产业报告，跟踪产学研进展，并组织相关研讨会；助理分析师则负责收集和分析AI产品数据，支持团队的数据库更新与内容发布。应聘者需具备相关专业背景与良好的学习能力，工作地点在北京中关村，欢迎实习生投递简历。,Other,Other,None,https://mp.weixin.qq.com/s/xgueSkuawmVTyQr4olwIDA
量子位,2025-03-28 09:07:24,Manus欲以37亿估值硅谷寻融资！发布仅三周，线下用户聚会场场满员,Manus寻求5亿美元融资，智能体市场引发关注,Manus公司正在硅谷寻求5亿美元融资，估值达到37.5亿元人民币。自发布以来，Manus迅速吸引了大量用户参与线下聚会，并推出了新功能，如互动在线学习网站和可交互式动画演示。这一进展标志着智能体领域的快速发展，尤其是MCP协议的推广，正在成为行业标准。如果融资成功，将进一步推动智能体技术的应用与发展。,Agent,Other,None,https://mp.weixin.qq.com/s/4VCfE9QKxJhe4bbw7gYzEQ
量子位,2025-03-28 12:23:35,让宇树机器狗在北大未名湖畔捡垃圾，银河通用干的,宇树机器狗在北大未名湖畔的垃圾捡拾任务研究,本文介绍了宇树机器狗在北京大学未名湖畔进行垃圾捡拾的项目，该项目由北大、银河通用、多伦多大学和智源研究院的团队开发。机器狗采用QuadWBG算法框架，结合运动、感知、操作和规划模块，首次引入通用定向可达性映射，显著提升了抓取成功率至89%。该研究展示了在复杂环境中进行物体抓取的能力，推动了具身AI领域的发展。,Embodied AI,PKU,Jilong Wang,https://mp.weixin.qq.com/s/dy5M7wPRUMNjl038Y_uY8Q
量子位,2025-03-28 12:23:35,AI大模型看手相！图片视频加持深度思考，阿里QVQ-Max“神了神了”,阿里QVQ-Max：多模态视觉推理模型的应用与性能,阿里推出了新型视觉推理模型QVQ-Max，能够对图像和视频进行深度思考，提供多种有趣的应用，例如手相分析和数学推理。该模型在MathVision基准测试中表现出色，具备强大的图像解析和信息分析能力，能够识别复杂图表和日常照片中的关键元素。此外，QVQ-Max还支持创作插画和短视频脚本，用户可以免费体验其功能。,Multimodal LLM,Alibaba,None,https://mp.weixin.qq.com/s/Xe-wF57V2nPJV8-U3Iz7BA
新智元,2025-03-28 11:18:54,GPT-4o「吉卜力风」一夜爆火，奥特曼连夜换头像！宫崎骏痛批AI侮辱生命,GPT-4o引发吉卜力风潮，宫崎骏批评AI对生命的侮辱,新智元报道，OpenAI推出的GPT-4o模型因其强大的图像生成能力而迅速走红，尤其是吉卜力风格的图像引发了广泛关注。该模型在大模型排行榜上名列第二，超越了Grok 3和GPT-4.5。尽管引发了创意工作者的担忧，Midjourney等老牌模型面临挑战，但GPT-4o的便捷性和出色效果吸引了大量用户参与。文章还提到宫崎骏对AI的批评，认为其侮辱了生命的价值。,Diffusion Model,OpenAI,Mark Chen,https://mp.weixin.qq.com/s/9qzPALAmXmIaMPu7TuaRuQ
新智元,2025-03-28 13:26:50,2024 ACM计算奖出炉！ETU教授、超算架构革命者获奖，贡献加速ChatGPT诞生,2024 ACM计算奖颁发给Torsten Hoefler教授，表彰其在高性能计算与AI领域的贡献,2024年ACM计算奖授予苏黎世联邦理工学院的Torsten Hoefler教授，表彰他在高性能计算（HPC）和人工智能（AI）革命中的重要贡献。他的研究显著加速了深度学习工作负载的性能，惠及数十万名程序员，并推动了AI及自然科学等领域的进步。Hoefler教授的创新包括3D并行性、MPI标准的贡献及网络设计的突破，为现代超级计算机的能力提升奠定了基础。,LLM,Other,"Torsten Hoefler, Salil Parekh, Yannis Ioannidis",https://mp.weixin.qq.com/s/BplJ-kp4UVuersHdF-1pvg
新智元,2025-03-28 13:26:50,2024 ACM计算奖出炉！ETH教授、超算架构革命者获奖，贡献加速ChatGPT诞生,2024 ACM计算奖颁发给Torsten Hoefler教授，表彰其在高性能计算与AI革命中的贡献,2024年ACM计算奖授予苏黎世联邦理工学院的Torsten Hoefler教授，以表彰其在高性能计算（HPC）和人工智能（AI）领域的重要贡献。Hoefler教授的研究显著提升了深度学习工作负载的性能，推动了AI技术的发展。他的创新包括3D并行性、MPI-3标准及高效的网络设计，为现代超级计算机的能力和可扩展性奠定了基础，惠及数百万AI和HPC程序员。,LLM,Other,"Torsten Hoefler, Salil Parekh",https://mp.weixin.qq.com/s/BplJ-kp4UVuersHdF-1pvg
机器之心,2025-03-28 18:05:41,Anthropic亲自公开Claude脑回路！,Anthropic发布Claude模型思维过程的研究,Anthropic近日公布了其大语言模型Claude的思维过程，构建了一种「AI显微镜」以识别模型活动模式和信息流动。研究发现Claude在语言间共享概念、提前规划输出内容，并在处理复杂任务时展现出灵活的表达策略。这一研究为理解大语言模型的能力和行为提供了新的视角，并发布了两篇相关论文，探讨了Claude的多语言能力和心算能力。,LLM,Other,None,https://mp.weixin.qq.com/s/nABd-_JLtDW3q_R5of2E5A
机器之心,2025-03-28 18:05:41,3D领域DeepSeek「源神」启动！国产明星创业公司，一口气开源八大项目,DeepSeek启动开源八大3D生成项目,DeepSeek-R1在全球范围内引发开源热潮，成功开源多个核心技术，包括基础3D生成模型TripoSG和TripoSF。这些项目旨在推动3D生成技术的发展，降低开发门槛，并加速视觉特效、游戏开发等领域的应用。VAST公司计划在接下来的时间里继续开源更多3D生成项目，展示其在3D内容创作方面的创新能力。,Other,Other,None,https://mp.weixin.qq.com/s/XADpXsXvUDKXRnOdfcIWEg
机器之心,2025-03-28 18:05:41,VBench-2.0：面向视频生成新世代的评测框架,VBench-2.0：面向视频生成新世代的评测框架,文章介绍了VBench-2.0，一个新的视频生成评测框架，旨在推动视频生成技术从表面逼真度向内在真实性的转变。该框架由南洋理工大学S-Lab和上海人工智能实验室联合推出，强调人体动作、可控性、创造性、物理规律和常识推理等关键评测维度。VBench-2.0不仅继承了VBench-1.0的优点，还提供了更全面的评估方法，以帮助研究者深入理解视频生成模型的潜力和局限性。,Other,Other,None,https://mp.weixin.qq.com/s/9BPatTiv4e5n_y7lfYCssQ
量子位,2025-03-28 18:01:20,3D版DeepSeek卷起开源月：两大基础模型率先SOTA！又是VAST,3D生成模型DeepSeek的开源进展与技术创新,VAST推出了3D生成模型TripoSG和TripoSF，刷新了开源3D生成模型的SOTA。TripoSG采用了基于校正流的Transformer架构，结合了MoE层和高质量VAE，提升了3D形状生成的稳定性和精度。VAST计划在接下来的一个月内持续开源多个3D相关技术项目，推动开源社区的发展。,Other,Other,None,https://mp.weixin.qq.com/s/Vr0YHmNBLSaN7BDM-cb3OA
