标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,ReSearch：通过强化学习学习与搜索结合的推理方法,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19470,https://www.arxiv.org/abs/2503.19470,https://www.alphaxiv.org/abs/2503.19470,这篇论文提出了ReSearch，一个通过强化学习训练大型语言模型（LLMs）与外部搜索整合推理的新框架。ReSearch将搜索操作视为推理链的重要组成部分，允许模型在没有监督数据的情况下，通过简单的奖励信号学习如何有效地进行多步推理和信息检索。实验表明，该方法在多个基准测试中表现出强大的泛化能力，并能够自然引导模型进行反思和自我修正，从而提升其推理能力。此研究为解决复杂问题提供了一种新思路，推动了LLMs在推理与检索结合方面的发展。,0
Scaling Evaluation-time Compute with Reasoning Models as Process Evaluators,通过推理模型作为过程评估器扩展评估时间计算,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19877,https://www.arxiv.org/abs/2503.19877,https://www.alphaxiv.org/abs/2503.19877,本论文探讨了如何通过增加评估时计算资源来提升语言模型的评估能力，特别是利用推理模型作为评估器。研究表明，推理模型在生成更长的推理链时，其评估性能会逐步提高，类似于生成模型的表现。此外，作者提出通过同时评估输出的整体和每个步骤，进一步增强评估效果。实验结果显示，使用更有效的评估器可以显著提升生成模型的解题能力，证明了评估时计算资源的扩展与生成时计算资源的扩展具有同等效果。,0
Think Twice: Enhancing LLM Reasoning by Scaling Multi-round Test-time Thinking,三思而后行：通过扩展多轮测试思维增强大语言模型推理,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19855,https://www.arxiv.org/abs/2503.19855,https://www.alphaxiv.org/abs/2503.19855,本文提出了一种新的测试时间扩展方法——多轮思考（Multi-round Thinking），旨在提升大型语言模型（LLMs）的推理能力。该方法通过迭代地利用先前答案作为后续轮次的提示，逐步优化模型的推理过程。实验结果显示，使用多轮思考后，模型在多个基准测试上表现出显著的性能提升，例如QwQ-32B在AIME 2024数据集上的准确率从80.3%提升至82.1%。该研究表明，多轮思考是一种简单有效的策略，具有广泛的适用性，能够为未来的测试时间扩展技术发展提供新思路。,0
Writing as a testbed for open ended agents,将写作作为开放式智能体的测试平台,25 Mar 2025,LLM,"Google, DeepMind",https://arxiv.org/pdf/2503.19711,https://www.arxiv.org/abs/2503.19711,https://www.alphaxiv.org/abs/2503.19711,本论文探讨了大型语言模型（LLMs）在写作辅助中的开放性任务表现，特别是作为协作写作工具的潜力。研究分析了三种主流模型——Gemini 1.5 Pro、Claude 3.5 Sonnet和GPT-4o，重点评估它们在文本生成和编辑中的行动多样性、人类偏好对齐及迭代改进能力。通过定量指标与人类评估相结合，研究揭示了当前模型在开放性文本精炼中的不足，并为未来写作代理工具的发展提供了框架和方向。这项工作为理解开放性领域的系统构建挑战提供了重要见解。,0
1.4 Million Open-Source Distilled Reasoning Dataset to Empower Large Language Model Training,140万开源蒸馏推理数据集以增强大语言模型训练,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19633,https://www.arxiv.org/abs/2503.19633,https://www.alphaxiv.org/abs/2503.19633,本文介绍了一个名为AM-DeepSeek-R1-Distilled的大规模开源推理数据集，包含140万个高质量的推理问题，旨在提升大型语言模型的训练效果。数据集经过严格的语义去重和验证，确保问题的准确性和可靠性。研究表明，基于该数据集进行简单的监督微调（SFT）训练的AM-Distill-Qwen模型在多个基准测试中超越了现有的推理模型，显示出数据质量和规模对模型性能的重要影响。该数据集的发布旨在推动推理导向的大型语言模型的发展。,0
Innate Reasoning is Not Enough: In-Context Learning Enhances Reasoning Large Language Models with Less Overthinking,先天推理不足：上下文学习增强推理大型语言模型，减少过度思考,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19602,https://www.arxiv.org/abs/2503.19602,https://www.alphaxiv.org/abs/2503.19602,本研究探讨了链式思维（CoT）提示在增强推理大型语言模型（RLLMs）能力中的作用。通过对不同参数规模（1.5B至32B）的模型进行实验，发现CoT提示显著提升了RLLMs在数学推理任务中的表现，尤其是在复杂问题上。研究表明，大模型在简单任务上的提升有限，而小模型则相反。此外，CoT提示有效控制了思考步骤和反思次数，减少了过度反思现象。我们的结果表明，单次CoT提示优于少量示例提示，为优化RLLMs的推理性能提供了重要见解。,0
The Greatest Good Benchmark: Measuring LLMs' Alignment with Utilitarian Moral Dilemmas,最大幸福基准：衡量大语言模型与功利主义道德困境的一致性,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19598,https://www.arxiv.org/abs/2503.19598,https://www.alphaxiv.org/abs/2503.19598,"本文提出了“最大利益基准”（Greatest Good Benchmark, GGB），旨在评估大型语言模型（LLMs）在面对功利主义道德困境时的道德判断。通过对15种不同的LLMs进行分析，研究发现这些模型的道德偏好与人类的道德标准存在显著差异，尤其是在拒绝工具性伤害和支持无偏见的仁慈方面。尽管较大的模型在道德判断上更接近人类，但大多数LLMs展现出一种“人工道德”，这为未来的模型对齐研究提供了重要的见解，强调了理解和解决LLMs内在道德偏见的必要性。",0
Scaling Vision Pre-Training to 4K Resolution,将视觉预训练扩展到4K分辨率,25 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.19903,https://www.arxiv.org/abs/2503.19903,https://www.alphaxiv.org/abs/2503.19903,本论文提出了一种新的视觉预训练方法PS3，使得视觉模型能够以接近常数的计算成本扩展到4K分辨率。传统的视觉预训练方法由于计算开销限制，通常只能处理低分辨率图像。PS3通过选择性地处理局部区域并与局部详细描述进行对比，实现了高效的高分辨率表示学习。基于PS3的多模态大语言模型VILA-HD在高分辨率视觉感知方面显著优于现有基线，并在新的4K图像问答基准4KPro上取得了最佳表现。这一研究为高分辨率视觉任务提供了新的解决方案，并推动了多模态模型的发展。,0
Thinking agents for zero-shot generalization to qualitatively novel tasks,用于零-shot泛化到定性新任务的思维智能体,25 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.19815,https://www.arxiv.org/abs/2503.19815,https://www.alphaxiv.org/abs/2503.19815,本文提出了一种训练智能体的方法，使其能够在未见过的全新任务中实现零-shot泛化。通过内部思考和模拟，智能体能够在没有环境交互的情况下，利用已知元素的组合解决新问题。研究团队通过保留特定环境组合进行训练，确保测试任务在质上是新的，而智能体能够通过思考过程评估可能的解决方案。实验表明，该智能体能够在一次真实环境试验中成功解决这些新任务，展示了其灵活应对未知挑战的能力。这一研究为理解和实现机器智能的思维能力提供了新的视角。,0
ORION: A Holistic End-to-End Autonomous Driving Framework by Vision-Language Instructed Action Generation,ORION：通过视觉-语言指令生成的整体端到端自动驾驶框架,25 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.19755,https://www.arxiv.org/abs/2503.19755,https://www.alphaxiv.org/abs/2503.19755,本文提出了ORION，一个全面的端到端自主驾驶框架，旨在通过视觉-语言指令生成行动来提升决策能力。ORION结合了QT-Former用于长时间历史上下文聚合、大型语言模型（LLM）进行驾驶场景推理，以及生成规划器实现精确轨迹预测。该框架有效地对齐了推理空间与行动空间，实现了视觉问答和规划任务的统一优化。在Bench2Drive挑战数据集上，ORION表现出色，取得77.74的驾驶评分和54.62%的成功率，显著超越了现有的先进方法。此研究为复杂环境中的自主决策提供了新的思路。,0
