标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,停止过度思考：大语言模型高效推理的调查,20 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.16419,https://www.arxiv.org/abs/2503.16419,https://www.alphaxiv.org/abs/2503.16419,本论文对大型语言模型（LLMs）中的高效推理进行了系统性调查，特别关注如何优化推理长度以减少计算开销，同时保持推理能力。尽管现有的推理模型在复杂任务中表现出色，但它们常常产生冗长的推理步骤，导致“过度思考现象”。作者将现有研究分为三大类：基于模型的高效推理、基于推理输出的高效推理和基于输入提示的高效推理。此外，论文还探讨了高效数据的使用、小型语言模型的推理能力以及评估方法。通过建立公共资源库，作者旨在推动这一领域的进一步研究和应用发展。,213
Tokenize Image as a Set,将图像标记为集合,20 Mar 2025,Diffusion Model,Tencent,https://arxiv.org/pdf/2503.16425,https://www.arxiv.org/abs/2503.16425,https://www.alphaxiv.org/abs/2503.16425,本论文提出了一种全新的图像生成范式，通过集基于令牌的表示和分布建模，取代传统的序列化方法。与固定位置的潜在编码不同，作者引入了无序令牌集表示，动态分配编码能力以适应区域语义复杂性。这种方法增强了全局上下文聚合能力，并提高了对局部扰动的鲁棒性。为了解决离散集建模的挑战，论文设计了双重转换机制，并提出了固定和离散扩散框架，首次有效处理离散值、固定序列长度和求和不变性。实验结果表明，该方法在语义感知表示和生成质量上优于传统方法，推动了视觉生成技术的发展。,74
Survey on Evaluation of LLM-based Agents,基于LLM的智能体评估调查,20 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.16416,https://www.arxiv.org/abs/2503.16416,https://www.alphaxiv.org/abs/2503.16416,这篇论文对基于大语言模型（LLM）的智能体评估方法进行了首次全面调查，分析了评估基准和框架的四个关键维度：基本能力、应用特定基准、通用智能体基准和评估框架。研究揭示了向更现实和具有挑战性的评估转变的趋势，并指出了在成本效益、安全性和鲁棒性等方面的研究空白。该调查为LLM智能体开发者、应用实践者、基准开发者和AI研究者提供了重要的评估指导，推动了这一快速发展的领域的进一步研究和应用。,72
Bridging Continuous and Discrete Tokens for Autoregressive Visual Generation,桥接连续和离散标记以实现自回归视觉生成,20 Mar 2025,Other,"ByteDance, PKU",https://arxiv.org/pdf/2503.16430,https://www.arxiv.org/abs/2503.16430,https://www.alphaxiv.org/abs/2503.16430,本论文提出了一种新方法TokenBridge，旨在解决自回归视觉生成模型中离散和连续标记表示之间的矛盾。传统离散标记虽然易于建模，但会导致信息损失和训练不稳定；而连续标记则能更好地保留视觉细节，但需要复杂的分布建模。TokenBridge通过后训练量化技术，将连续表示转化为离散标记，从而结合了两者的优点。该方法采用了维度独立的量化策略和轻量级的自回归预测机制，实验结果表明其在重建和生成质量上与现有连续方法相当，同时保持了建模的简单性。这为高质量的视觉生成提供了新的方向。,40
SynCity: Training-Free Generation of 3D Worlds,SynCity: 无需训练的3D世界生成,20 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.16420,https://www.arxiv.org/abs/2503.16420,https://www.alphaxiv.org/abs/2503.16420,论文《SynCity: Training-Free Generation of 3D Worlds》提出了一种名为SynCity的新方法，能够根据文本描述生成复杂的3D世界，且无需训练或优化。该方法结合了预训练的3D生成模型的几何精确性和2D图像生成器的艺术多样性，通过创新的提示工程策略，实现了大规模、高质量的3D场景生成。SynCity采用基于瓦片的生成方式，逐步构建场景，确保每个瓦片在上下文中生成，从而实现细致且多样化的3D环境。这一方法显著提高了3D内容生成的效率，具有广泛的应用潜力，如视频游戏和虚拟现实等领域。,24
MagicMotion: Controllable Video Generation with Dense-to-Sparse Trajectory Guidance,MagicMotion：基于稠密到稀疏轨迹引导的可控视频生成,20 Mar 2025,Other,Microsoft,https://arxiv.org/pdf/2503.16421,https://www.arxiv.org/abs/2503.16421,https://www.alphaxiv.org/abs/2503.16421,本文介绍了MagicMotion，一个新颖的可控视频生成框架，旨在通过密集到稀疏的轨迹指导实现精准的对象运动控制。MagicMotion采用三种控制层级（掩码、边界框和稀疏框），能够根据输入图像和用户指定的轨迹生成高质量视频，同时保持对象的一致性和视觉质量。此外，论文还提出了MagicData，一个大规模的轨迹控制视频数据集，以及MagicBench，一个综合性基准，用于评估视频质量和轨迹控制的准确性。实验结果表明，MagicMotion在多个指标上优于现有方法，为未来的可控视频生成提供了新的解决方案。,20
MASH-VLM: Mitigating Action-Scene Hallucination in Video-LLMs through Disentangled Spatial-Temporal Representations,MASH-VLM：通过解耦的时空表示减轻视频大语言模型中的动作场景幻觉,20 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.15871,https://www.arxiv.org/abs/2503.15871,https://www.alphaxiv.org/abs/2503.15871,本文提出了一种新方法MASH-VLM，旨在解决视频大语言模型（Video-LLMs）中的动作场景幻觉问题，即模型错误地基于场景上下文预测动作或反之。研究发现，现有模型因空间和时间特征混合以及标准位置编码的局限，导致了这一问题。MASH-VLM通过引入DST-attention机制和Harmonic-RoPE，成功地将空间和时间特征解耦，并改善了位置编码，从而在新提出的UNSCENE基准测试中取得了最先进的性能。这项研究为视频理解提供了新的思路，提升了模型的准确性和可靠性。,13
Deconstructing Long Chain-of-Thought: A Structured Reasoning Optimization Framework for Long CoT Distillation,解构长链思维：长链思维蒸馏的结构化推理优化框架,20 Mar 2025,LLM,Alibaba,https://arxiv.org/pdf/2503.16385,https://www.arxiv.org/abs/2503.16385,https://www.alphaxiv.org/abs/2503.16385,本论文提出了一种名为DLCoT（Deconstructing Long Chain-of-Thought）的框架，用于优化长链推理的知识蒸馏过程。研究发现，现有的蒸馏方法在不同模型之间传递长链推理能力的有效性有限，尤其是在非同源模型上表现不佳。DLCoT通过三个步骤：数据分段、简化和优化中间错误状态，显著提升了模型的性能和效率。这一方法为训练高效的语言模型提供了新的思路，推动了长链推理能力的有效转移和应用。,9
Agentic Keyframe Search for Video Question Answering,用于视频问答的智能关键帧搜索,20 Mar 2025,Agent,THU,https://arxiv.org/pdf/2503.16032,https://www.arxiv.org/abs/2503.16032,https://www.alphaxiv.org/abs/2503.16032,本论文提出了一种名为Agentic Keyframe Search (AK EYS) 的新算法，用于视频问答（VideoQA）任务。AK EYS通过现代语言代理引导经典搜索算法，有效地从视频中识别关键信息，减少冗余内容，从而降低计算成本。该方法首先将视频分段并组织成树结构，利用语言代理动态估算启发式和移动成本，最终确定是否已收集足够的关键帧。实验结果表明，AK EYS在EgoSchema和NExT-QA数据集上表现优于现有方法，显著提高了关键帧搜索效率和问答准确性。该研究为视频理解领域的智能代理开发迈出了重要一步。,8
"Unify and Triumph: Polyglot, Diverse, and Self-Consistent Generation of Unit Tests with LLMs",统一与胜利：基于大语言模型的多语言、多样化和自洽的单元测试生成,20 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.16144,https://www.arxiv.org/abs/2503.16144,https://www.alphaxiv.org/abs/2503.16144,本文提出了一种名为PolyTest的新方法，旨在利用大型语言模型（LLMs）生成高质量的单元测试。PolyTest结合了多语言（polyglot）和温度控制的输出多样性，通过两种方式提升测试生成效果：一是跨语言生成测试并进行统一，二是在同一语言中生成多组测试并统一。研究显示，PolyTest能够显著提高测试数量、通过率、覆盖率和突变评分，尤其在LLMs表现较弱的编程语言中效果明显。与传统的单语言生成方法相比，PolyTest在测试质量和一致性方面表现更佳，证明了其在软件测试中的潜在价值。,4
