公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-03-18 08:46:31,ChatGPT创始成员、后训练负责人官宣离职！自立门户并将获OpenAI投资,OpenAI后训练负责人William Fedus离职并创立新公司,William Fedus，OpenAI的后训练负责人及研究副总裁，宣布离职并计划创立一家专注于材料科学的AI初创公司。Fedus在公开信中表达了对未来合作的期待，并感谢了OpenAI的团队和领导。他的离职标志着OpenAI又一位重要员工的流失，同时OpenAI表示将投资并与其新公司合作。Fedus的学术背景包括在MIT和剑桥大学的物理学学习，以及在蒙特利尔大学获得计算机科学博士学位。,Other,"OpenAI, Google","William Fedus, Sam Altman, Greg Brockman, Mark Chen, Noam Brown, Yoshua Bengio",https://mp.weixin.qq.com/s/AH03xhDY-0GfS3rTGwyH1g
机器之心,2025-03-18 08:46:31,模态GAP不存在了？图文领域首个token级大一统基座诞生,图文领域首个Token级大一统基座的实现,本文介绍了上交与美团联合研发的Token级图文数据集TokenIT及细粒度基座TokenFD的重磅问世。这些创新推动了多模态大模型的发展，特别是在处理包含密集文字的文档图像方面。TokenIT包含2000万条图像和18亿Token-Mask对，支持图像与语言Token的共享与交互。TokenFD通过简化的编码方法实现了图像与语言的细粒度对齐，显著提升了多项下游任务的性能，推动了多模态文档理解的进步。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/dL9wH2XAktxnupl5-K73Aw
新智元,2025-03-18 08:42:38,刚刚，o1/o3后训练掌门人出走创业，OpenAI鼎力支持押注AI材料！曾师从Bengio,OpenAI后训练团队负责人William Fedus离职创业，获OpenAI投资支持,William Fedus，OpenAI后训练团队负责人，宣布离职并创办一家专注于AI材料的创业公司。OpenAI决定对其新公司进行投资并建立合作关系。Fedus在信中表达了对OpenAI的感激，并表示将继续关注团队的成功。Fedus曾在谷歌大脑工作，参与多个重要AI模型的研发，并在计算机科学领域获得博士学位，师从Yoshua Bengio。此举标志着OpenAI再次失去一名重要领导者。,Other,"OpenAI, Google","William Fedus, Sam Altman, Greg Brockman, Mark Chen, Yoshua Bengio",https://mp.weixin.qq.com/s/d04R8r1pICndsRXTNs9bZw
量子位,2025-03-18 08:11:42,陶哲轩：o3-mini纠正了我一个数学错误，十分钟解决原本一小时才能完成的题目,陶哲轩与o3-mini的数学协作体验,在这篇文章中，陶哲轩分享了他使用o3-mini解决数学问题的经历。o3-mini不仅纠正了他的一个错误，还帮助他在十分钟内完成了原本需要一小时的代码生成和测试。与此同时，CMU的罗博深教授也对GPT-o1在数学考试中的表现感到震惊，指出其在新设计的非标准问题上表现出色。文章探讨了大语言模型在数学领域的进步及其对科学研究的影响。,LLM,Other,"陶哲轩, 罗博深",https://mp.weixin.qq.com/s/d090yFiv_hkdjDjzIxWxww
量子位,2025-03-18 08:11:42,最后1周！今年最值得关注的AIGC企业/产品正在评选中,2025年度AIGC企业与产品评选启动,量子位公众号发布了关于2025年值得关注的AIGC企业和产品的评选通知。此次评选将于2025年3月24日截止，旨在通过对过去一年AIGC企业和产品表现的评估，发掘具有潜力和创新性的团队与产品。评选将涵盖技术、产品、市场及潜力等多个维度，并将在4月的中国AIGC产业峰会上公布结果。峰会将邀请多位行业领军人物分享对生成式AI的见解。,Other,Other,"袁佛玉, 关玮雅, 吴欣鸿, 徐元春, 林咏华, 卢志武",https://mp.weixin.qq.com/s/_-g689e9IHtvQK7jPGSoOw
量子位,2025-03-18 08:11:42,8张GPU训出近SOTA模型，超低成本图像生成预训练方案开源,LightGen: A Cost-Effective Pretraining Approach for High-Quality Image Generation,"LightGen is a new image generation model developed by a team from Hong Kong University of Science and Technology and Everlyn AI, which achieves near state-of-the-art (SOTA) performance with only 8 GPUs. Utilizing knowledge distillation and direct preference optimization, it significantly reduces training costs and resource requirements while maintaining high-quality outputs. The model demonstrates competitive results in benchmark evaluations, showcasing its potential for efficient image generation in resource-constrained environments.",Diffusion Model,Other,Harry Yang,https://mp.weixin.qq.com/s/9dyep_QSeJSZh61jCEzjkg
量子位,2025-03-18 10:13:16,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘信息，寻求对AI大模型、具身智能、终端硬件和AI新媒体编辑感兴趣的原创作者。招聘岗位包括AI大模型方向、具身智能机器人、终端硬件和新媒体编辑，工作地点在北京中关村。应聘者需具备相关领域的热情和能力，提供竞争力薪资和职业发展机会。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/KNT0yiqRQC1zo4ZcavD4Fg
量子位,2025-03-18 10:13:16,o1/o3后训练负责人离职创业，奥特曼把OpenAI玩成另一个YC孵化器了,OpenAI后训练负责人William Fedus离职创业，聚焦AI材料科学,OpenAI高管William Fedus宣布离职，计划创办一家专注于AI材料科学的新公司。这一决定是在OpenAI经历了一轮高管离职潮后做出的，Fedus在OpenAI的后训练研究中扮演了重要角色。他的离职标志着OpenAI人才流动的持续，尽管公司也在不断补充新鲜血液。Fedus的背景包括物理学和计算机科学，他曾在多个知名机构工作，未来将致力于将AI应用于物理学领域。,Other,"OpenAI, Google","William Fedus, Mira Murati, Barret Zoph, Yoshua Bengio",https://mp.weixin.qq.com/s/pMKfnfVgP8qF2C7UZplZ3g
新智元,2025-03-18 13:02:36,65岁陈立武点爆英特尔三把火！裁员砍中层，AI制造，争夺世界代工厂王座,陈立武接任英特尔CEO，推动制造与AI业务改革,65岁陈立武接任英特尔CEO，计划进行全面改革，重点在制造业升级、AI战略重塑和中层管理精简。面对公司历史上首次年度亏损，陈立武的改革措施旨在恢复英特尔的市场竞争力，吸引新客户并提升代工业务。尽管面临挑战，陈立武的计划已提振了股价，显示出市场对其改革的期待。,Other,Other,陈立武,https://mp.weixin.qq.com/s/ZzvLs4pJw93V3lY9Ewwy1Q
新智元,2025-03-18 15:30:12,中绿讯科8个月自研新一代AI生态平台！以央企担当，或破解产业核心难题,中绿讯科发布新一代AI生态平台，助力产业智能化转型,中绿讯科近日发布了基于自研泰山大模型群的AI生态平台，旨在为企业提供高效的AI解决方案。该平台集成了多项技术组件，能够帮助企业克服AI应用中的技术门槛和数据质量问题，促进业务智能化升级。中绿讯科作为央企与科大讯飞的合资公司，致力于通过与行业龙头企业的合作，推动AI技术在管理、能源和文旅等领域的实际应用。,Agent,Other,None,https://mp.weixin.qq.com/s/OoZLaQA9HBuKOYJ_YF7caA
