标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"RWKV-7 ""Goose"" with Expressive Dynamic State Evolution","RWKV-7 ""鹅""与表现力动态状态演化",LLM,THU,https://arxiv.org/pdf/2503.14456,https://huggingface.co/papers/2503.14456,"本文介绍了RWKV-7 ""Goose""，一种新型序列建模架构，展示了其在多语言任务上以30亿参数规模达到新的最优性能，同时在英语任务上表现与顶级模型相当，尽管训练所需的文本数据显著减少。RWKV-7模型具有恒定的内存使用和推理时间，并引入了改进的增量学习规则和状态跟踪能力，超越了传统变换器的能力。为验证其语言建模能力，研究团队还发布了一个包含3.1万亿标记的多语言开源语料库，并提供了相关模型和代码，以促进研究的开放性与可复现性。",62
Impossible Videos,不可能的视频,Other,Other,https://arxiv.org/pdf/2503.14378,https://huggingface.co/papers/2503.14378,本论文探讨了合成视频生成中的“不可实现视频”概念，提出了IPV-Bench这一新基准，旨在评估视频生成和理解模型在处理违反物理、社会及生物法则的场景时的能力。研究围绕两个主要问题展开：现有视频生成模型是否能有效地创建不可实现的视频内容，以及视频理解模型是否能够理解这些内容。通过构建全面的分类体系和评估套件，论文揭示了当前模型的局限性，并为未来视频技术的发展提供了重要的见解和方向。这为推动下一代视频模型的研究奠定了基础。,37
Creation-MMBench: Assessing Context-Aware Creative Intelligence in MLLM,Creation-MMBench：评估多模态大语言模型中的上下文感知创造智能,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.14478,https://huggingface.co/papers/2503.14478,本论文提出了Creation-MMBench，一个专门用于评估多模态大型语言模型（MLLM）在创意任务中的能力的基准。该基准包含765个测试案例，涵盖51个细分任务，旨在填补当前对MLLM创意能力评估的空白。通过定义特定的评估标准，Creation-MMBench不仅考量了模型的响应质量，还关注与视觉输入的一致性。实验结果显示，现有的开源MLLM在创意任务中表现不佳，相较于专有模型存在明显差距。此外，视觉微调可能会对基础模型的创意能力产生负面影响。这项研究为提升MLLM的创意智能提供了宝贵的见解，并为未来的多模态生成智能改进奠定了基础。,34
DAPO: An Open-Source LLM Reinforcement Learning System at Scale,DAPO：一个开源的大规模LLM强化学习系统,LLM,"ByteDance, THU",https://arxiv.org/pdf/2503.14476,https://huggingface.co/papers/2503.14476,本文提出了DAPO（Decoupled Clip and Dynamic Sampling Policy Optimization）算法，并开源了一个大规模的强化学习（RL）系统，旨在提升大型语言模型（LLM）的推理能力。与以往研究不同，DAPO详细介绍了四个关键技术，解决了大规模RL训练中的主要障碍。该系统在AIME 2024中取得了50分的优异成绩，使用的是Qwen2.5-32B基础模型。通过开源训练代码和精心处理的数据集，DAPO增强了研究的可重复性，推动了大规模LLM强化学习的未来发展。,22
"DeepPerception: Advancing R1-like Cognitive Visual Perception in MLLMs
  for Knowledge-Intensive Visual Grounding",DeepPerception：在多模态大语言模型中推进R1-like认知视觉感知以实现知识密集型视觉定位,Multimodal LLM,THU,https://arxiv.org/pdf/2503.12797,https://huggingface.co/papers/2503.12797,本文提出了DeepPerception，一种增强多模态大语言模型（MLLM）认知视觉感知能力的方法，旨在解决当前MLLM在知识密集型视觉定位任务中的不足。通过引入知识密集型视觉定位（KVG）任务，DeepPerception结合了自动数据合成和两阶段训练框架，以提高视觉感知与认知推理的协同作用。实验结果表明，DeepPerception在KVG-Bench基准数据集上显著提升了准确性和跨领域泛化能力，强调了将认知过程融入MLLM的重要性，为多模态推理研究开辟了新方向。,20
"CapArena: Benchmarking and Analyzing Detailed Image Captioning in the
  LLM Era",CapArena：在大语言模型时代对详细图像描述进行基准测试和分析,Multimodal LLM,Other,https://arxiv.org/pdf/2503.12329,https://huggingface.co/papers/2503.12329,本论文提出了CapArena，一个用于评估图像描述质量的新平台，包含超过6000对比测试和高质量的人类偏好投票。研究主要解决两个问题：当前视觉语言模型（VLMs）在图像描述中的表现如何，尤其是与人类相比；以及自动化评估指标是否能够可靠地衡量详细描述的质量。结果显示，领先模型如GPT-4o的表现可与人类相媲美，而许多开源模型则表现不佳。同时，虽然一些传统评估指标存在系统偏差，VLM作为评估者展现了更强的判断能力。基于这些发现，CapArena-Auto作为高效的自动化基准工具被推出，能够以94.3%的准确度与人类排名相符。,18
"Infinite Mobility: Scalable High-Fidelity Synthesis of Articulated
  Objects via Procedural Generation",无限移动：通过程序生成实现可扩展的高保真关节物体合成,Embodied AI,Other,https://arxiv.org/pdf/2503.13424,https://huggingface.co/papers/2503.13424,本论文提出了一种名为Infinite Mobility的新方法，通过程序生成技术合成高保真度的关节物体，以满足在具身人工智能任务中对大规模高质量关节物体的需求。与现有的数据驱动或基于仿真的方法相比，Infinite Mobility克服了训练数据规模和质量限制，以及仿真过程的复杂性。研究表明，该方法在物理属性和网格质量上超越了当前最先进的技术，并与人工标注数据集相媲美。此外，生成的数据可用于训练生成模型，推动下一步的规模化发展。相关代码已公开。,13
Frac-Connections: Fractional Extension of Hyper-Connections,Frac-Connections: 超连接的分数扩展,LLM,ByteDance,https://arxiv.org/pdf/2503.14125,https://huggingface.co/papers/2503.14125,本文提出了Frac-Connections，一种新颖的连接方式，旨在优化深度学习模型中的连接机制。传统的残差连接在训练深层网络时有效，但容易导致梯度消失和特征表征崩溃。虽然超连接（Hyper-Connections）通过引入多种连接强度来缓解这些问题，但却增加了内存访问成本。Frac-Connections通过将隐藏状态划分为多个部分，而不是扩展其宽度，从而在降低内存消耗的同时保留了超连接的部分优势。通过对语言任务的大规模实验，结果表明Frac-Connections显著优于传统的残差连接，为深度学习模型的设计提供了新的思路。,11
Aligning Multimodal LLM with Human Preference: A Survey,与人类偏好对齐的多模态大语言模型：综述,Multimodal LLM,Other,https://arxiv.org/pdf/2503.14504,https://huggingface.co/papers/2503.14504,本文对多模态大语言模型（MLLM）的对齐算法进行了全面的系统性综述。尽管LLM在处理多种任务方面表现出色，但在真实性、安全性和与人类偏好的对齐等方面仍存在不足。文章探讨了对齐算法的应用场景、构建对齐数据集的核心因素、评估对齐算法的基准，以及未来发展方向。这项工作旨在帮助研究人员整理当前领域的进展，激发更有效的对齐方法，从而提升MLLM在复杂任务中的表现。,6
"MPBench: A Comprehensive Multimodal Reasoning Benchmark for Process
  Errors Identification",MPBench：一个全面的多模态推理基准用于过程错误识别,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.12505,https://huggingface.co/papers/2503.12505,本文介绍了MPBench，一个综合性的多任务多模态基准，旨在系统评估过程级奖励模型（PRMs）在识别过程错误中的有效性。MPBench通过三种评估范式进行评估：步骤正确性、答案聚合和推理过程搜索，分别针对PRMs在推理过程中的不同角色。该基准不仅关注错误检测，还扩展到推理搜索等场景，填补了现有基准的空白。通过MPBench，研究人员能够深入了解PRMs的表现，为提升大语言模型的推理能力提供了重要的见解和指导。,6
