标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
ConSol: Sequential Probability Ratio Testing to Find Consistent LLM Reasoning Paths Efficiently,ConSol：高效寻找一致的LLM推理路径的序列概率比检验,22 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.17587,https://www.arxiv.org/abs/2503.17587,https://www.alphaxiv.org/abs/2503.17587,本论文提出了一种名为ConSol的创新方法，利用顺序概率比检验（SPRT）来高效寻找一致的语言模型（LLM）推理路径。随着LLM集成推理能力的发展，传统的自一致性方法虽然提高了准确性，但也显著增加了计算成本。ConSol通过动态终止采样过程，在达到足够一致性时减少了样本数量，从而提高了令牌效率。实验结果表明，ConSol在保持与自一致性方法相当的准确性的同时，显著降低了计算资源消耗。这一研究为进一步优化LLM的推理过程提供了新的思路和工具。,0
Judge Anything: MLLM as a Judge Across Any Modality,评判任何事物：多模态大语言模型作为跨任何模态的评判者,21 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.17489,https://www.arxiv.org/abs/2503.17489,https://www.alphaxiv.org/abs/2503.17489,本论文提出了将多模态大型语言模型（MLLM）作为跨模态任务的自动评估工具，旨在解决生成模型在多模态理解（MMU）和生成（MMG）任务评估中的挑战。研究引入了两个基准：TASKANYTHING和JUDGE ANYTHING，分别用于评估MLLM的整体性能和判断能力。实验结果表明，尽管MLLM在MMU任务中表现出一定潜力，但在MMG任务中遇到显著困难。为此，论文还提出了OMNI ARENA，一个用于评估多模态模型的自动化平台，强调了建立更公平的评估协议和与人类偏好的更好对齐的必要性。,0
SimpleRL-Zoo: Investigating and Taming Zero Reinforcement Learning for Open Base Models in the Wild,SimpleRL-Zoo：在野外研究和驯化零强化学习以适应开放基础模型,24 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18892,https://www.arxiv.org/abs/2503.18892,https://www.alphaxiv.org/abs/2503.18892,本论文探讨了零强化学习（zero RL）在多种开放基础模型上的应用，尤其关注它们在复杂任务中的推理能力和自我反思行为的自然出现。研究涵盖了10种不同的基础模型，包括LLama和Mistral系列，发现通过调整奖励格式和控制查询难度，可以显著提升推理准确性和响应长度。论文首次观察到小型模型中“aha时刻”的出现，并强调了不同模型在训练中的独特动态。研究结果为理解和优化零RL训练提供了重要见解，并开源了相关代码和工具，促进进一步研究。,0
Reasoning to Learn from Latent Thoughts,从潜在思想中学习的推理,24 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18866,https://www.arxiv.org/abs/2503.18866,https://www.alphaxiv.org/abs/2503.18866,本论文提出了一种通过推理来学习潜在思维的策略，以提高语言模型的预训练数据效率。随着计算能力的提升，语言模型的预训练已面临数据瓶颈。作者认为，显式建模和推断文本生成过程中的潜在思维可以显著改善数据利用率。通过实验证明，合成数据方法在数学领域的继续预训练中显著提高了数据效率，且无需强教师模型，语言模型能够通过自我迭代提升性能。该研究为在数据受限环境下的预训练提供了新的思路和方法。,0
Structuring Scientific Innovation: A Framework for Modeling and Discovering Impactful Knowledge Combinations,构建科学创新：建模和发现有影响力知识组合的框架,24 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18865,https://www.arxiv.org/abs/2503.18865,https://www.alphaxiv.org/abs/2503.18865,本论文提出了一种新的框架，用于建模和发现具有影响力的科学知识组合，强调方法组合在科学创新中的重要性。研究利用大型语言模型（LLMs）探索知识单元的系统化整合，提出了一种对比学习机制来识别历史上具有颠覆性的研究方法组合，并采用基于推理的蒙特卡洛搜索算法来发现新问题的知识重组。通过多个领域的实证研究，框架成功展示了创新的结构动态，并引入了颠覆性指数（DI）作为量化科学发现影响力的工具。这为计算引导的科学创意提供了新的路径，促进了科学发现的系统化和精准化。,0
Verbal Process Supervision Elicits Better Coding Agents,语言过程监督促进更好的编码智能体,24 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.18494,https://www.arxiv.org/abs/2503.18494,https://www.alphaxiv.org/abs/2503.18494,本文介绍了一种名为CURA的代码理解与推理代理系统，该系统通过引入口头过程监督（VPS）技术，显著提升了代码生成能力。研究表明，CURA在复杂基准测试（如BigCodeBench）上比基线模型提高了3.65%的性能。VPS作为一种新颖的监督机制，能够生成引导推理过程的口头奖励信号，从而增强模型的推理能力。该研究为将推理驱动的架构与基于大型语言模型的代码生成相结合提供了新思路，推动了自动化软件工程的进展。,0
Teaching LLMs for Step-Level Automatic Math Correction via Reinforcement Learning,通过强化学习教学大语言模型进行逐步自动数学纠错,24 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18432,https://www.arxiv.org/abs/2503.18432,https://www.alphaxiv.org/abs/2503.18432,本论文提出了一种基于强化学习的模型StepAMC，用于逐步自动数学纠错，旨在提供比传统方法更深入的反馈。现有的自动纠错系统通常仅关注最终答案，而忽视了解决过程中的每一步。StepAMC通过将逐步纠错任务转化为强化学习问题，提升了模型的推理能力，并设计了一个空间约束策略网络以增强稳定性。此外，论文引入了细粒度奖励网络，将二元反馈转化为连续值，允许模型学习部分错误。实验结果表明，StepAMC在准确性和与人类判断的一致性方面均优于现有方法。,0
AgentRxiv: Towards Collaborative Autonomous Research,AgentRxiv：迈向协作自主研究,23 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.18102,https://www.arxiv.org/abs/2503.18102,https://www.alphaxiv.org/abs/2503.18102,本文介绍了AgentRxiv，一个旨在促进自主研究合作的框架。现有的自主研究代理往往孤立工作，缺乏对先前研究成果的持续改进能力。AgentRxiv通过一个共享的预印本服务器，使多个代理实验室能够上传和检索研究报告，从而实现协作和知识共享。研究表明，使用AgentRxiv的代理能够在MATH-500基准测试中显著提升性能（相对基线提高13.7%），并在其他领域也展现出改进。这一框架为未来人机协作的研究提供了新的方向，能够加速科学发现的进程。,0
Long Is More Important Than Difficult for Training Reasoning Models,长比难更重要：训练推理模型的研究,23 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18069,https://www.arxiv.org/abs/2503.18069,https://www.alphaxiv.org/abs/2503.18069,本文探讨了推理模型训练中，推理长度相较于问题难度的重要性。研究表明，推理长度是影响模型性能的主要因素，而高难度问题的稀缺性限制了数据集的规模。作者提出了一种简单的方法来生成任意长度的推理数据，并创建了包含1000个样本的Long1K数据集。经过微调，基于该数据集的模型Long1K-32B在MATH和GPQA任务上表现出色，分别达到了95.6%和71.1%的准确率。该研究为推理模型的训练提供了新的思路，强调了推理长度的关键作用。,0
Classical Planning with LLM-Generated Heuristics: Challenging the State of the Art with Python Code,使用LLM生成启发式方法的经典规划：用Python代码挑战现有技术,24 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.18809,https://www.arxiv.org/abs/2503.18809,https://www.alphaxiv.org/abs/2503.18809,本论文探讨了如何利用大型语言模型（LLMs）生成经典规划中的领域依赖启发式函数。研究表明，LLMs能够生成有效的Python代码形式的启发式，经过训练评估后，选取表现最佳的启发式。结果显示，LLM生成的启发式在解决未见测试任务方面超越了现有的领域无关启发式，且在某些情况下比传统方法更高效。这项工作简化了启发式生成流程，展示了LLMs在提升规划能力方面的潜力，为经典规划的研究提供了新的视角和方法。,0
