公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-03-21 08:56:26,刚刚，OpenAI开启语音智能体时代，API价格低至每分钟0.015美元,OpenAI发布新音频模型，开启语音智能体时代,OpenAI于2025年3月21日发布了新一代音频模型，显著提升了语音转文本和文本转语音的准确性和可靠性，尤其在复杂场景下表现出色。新模型允许开发者定制AI的说话方式，适用于客户服务和会议记录等应用。API价格保持业界平均水平，开发者可通过新的API构建更强大的语音智能体。OpenAI计划继续提升音频模型的智能性，并探索个性化声音的实现。,Agent,OpenAI,None,https://mp.weixin.qq.com/s/udgxFq_hqYOtG62kfpz6CA
机器之心,2025-03-21 08:56:26,预测误差降低12.3%，多车协同预测框架CMP，破解自动驾驶「视线盲区」,多车协同运动预测框架CMP提升自动驾驶轨迹预测精度,加州大学河滨分校与密歇根大学、加州大学伯克利分校和华盛顿大学联合提出了一种名为CMP的协同运动预测框架，通过多车信息共享与融合，显著提升了自动驾驶车辆的轨迹预测精度，预测误差降低12.3%。该技术在真实场景数据集V2V4Real和仿真平台OPV2V中得到验证，为复杂交通环境下的自动驾驶安全决策提供了新方案。,Other,Other,None,https://mp.weixin.qq.com/s/8lIW3HL4IMQzewgVMp5y5w
量子位,2025-03-21 08:36:54,DeepSeek上脸实测：AR眼镜实时翻译老黄GTC演讲，完了还帮我划重点,DeepSeek与AR眼镜结合的实时翻译与助手功能实测,本文实测了星纪魅族StarV Air2 AR眼镜与DeepSeek大模型的结合，展示了其在GTC老黄演讲中的实时翻译和摘要功能。该眼镜支持多种AI能力，包括实时翻译、会议助手和AR导航，具备轻量化设计和良好佩戴体验。文章探讨了AI与AR的结合如何提升用户体验，并分析了不同厂商在产品路线上的差异。,Embodied AI,Other,郭鹏,https://mp.weixin.qq.com/s/aks-jzH4W_qZ2zwuhd3meg
量子位,2025-03-21 08:36:54,一张图，快速生成可拆分3D角色！腾讯清华新SOTA | CVPR 2025,StdGEN: 高效生成可拆分3D角色的语义感知模型,腾讯AI Lab与清华大学共同提出的StdGEN模型能够从任意一张立绘快速生成可拆分的3D角色。该模型在分拆能力、生成质量和优化效率上均表现优异，能够在3分钟内生成高质量的3D角色，并分离出身体、衣服和头发等语义组件。StdGEN的核心是基于Transformer的语义感知大规模重建模型，结合多视角扩散模型和多层优化模块，显著提升了3D角色生成的性能。该研究成果已被CVPR 2025接收，并开源了相关代码和在线Demo。,Diffusion Model,"Tencent, THU",None,https://mp.weixin.qq.com/s/eKqVeWUd3MFy649OAkEqZQ
量子位,2025-03-21 08:36:54,最后1周！今年最值得关注的AIGC企业/产品正在评选中,2025年值得关注的AIGC企业与产品评选启动,量子位公众号发布了关于2025年值得关注的AIGC企业和产品的评选通知，旨在通过评估过去一年内AIGC企业和产品的表现，选出具有潜力和创新性的团队与产品。评选将于2025年3月24日截止，结果将在4月的中国AIGC产业峰会上公布。评选标准涵盖技术、产品、市场和潜力等多个维度，期待更多优秀的AIGC企业和产品获得关注。,Other,Other,"袁佛玉, 关玮雅, 吴欣鸿, 徐元春, 林咏华, 卢志武",https://mp.weixin.qq.com/s/8tVpJySsDaHrP0s6JLtbRA
机器之心,2025-03-21 12:09:48,13年后，AlexNet源代码终于公开：带注释的原版,AlexNet源代码公开：带注释的原版,谷歌首席科学家Jeff Dean宣布与计算机历史博物馆合作，公开了深度学习里程碑AlexNet的源代码。这一开创性神经网络由Alex Krizhevsky、Ilya Sutskever和Geoffrey Hinton于2012年开发，标志着计算机视觉领域的重大转折。代码的发布为AI研究者提供了宝贵的学习资源，注释中的实验记录也被认为具有启发性。AlexNet的成功推动了神经网络的广泛应用，成为AI发展的重要里程碑。,Other,Google,"Jeff Dean, Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton, Thomas Wolf",https://mp.weixin.qq.com/s/eZyyd2tN6MEan57e4yXrJQ
机器之心,2025-03-21 12:09:48,Roblox发布3D智能基础模型Cube，一句话生成游戏资产,Roblox发布3D智能基础模型Cube，用于生成游戏资产,Roblox近期推出了3D智能基础模型Cube，旨在通过AI技术革新游戏创作体验。该模型能够生成3D物体、场景和角色，并支持编程脚本的描述。尽管目前生成效果尚有待提升，但Cube的推出标志着Roblox在3D智能基础模型领域的重要进展。研究团队提出了新的形状token化方案，以支持多模态输入输出，并实现了编码器-解码器架构的改进。该模型的开发目标是为游戏开发者提供更高效的创作工具。,Other,Other,David Baszucki,https://mp.weixin.qq.com/s/yTgwADnOimbFh5MaAB16OA
机器之心,2025-03-21 12:09:48,前字节跳动AI技术专家加盟千寻智能，出任具身智能部负责人,前字节跳动AI技术专家加盟千寻智能，出任具身智能部负责人,前字节跳动AI技术专家解浚源已加入具身智能公司千寻智能，担任具身智能部负责人，负责具身大模型的研发。解浚源在AI领域具有丰富经验，曾在多个顶级会议发表论文，并参与开源项目mxnet的创建。千寻智能致力于具身智能的产业化，近期发布了Spirit v1 VLA的演示视频，展示了其在柔性物体操作方面的技术突破。具身智能正迎来快速发展期，人才争夺成为行业竞争的关键。,Embodied AI,ByteDance,"解浚源, 韩峰涛, 高阳",https://mp.weixin.qq.com/s/BZo7fs-y41_A5HzALqaqOQ
机器之心,2025-03-21 12:09:48,树搜索也存在「过思考」与「欠思考」？腾讯AI Lab与厦大联合提出高效树搜索框架,高效树搜索框架Fetch：解决大语言模型推理中的过思考与欠思考问题,本文由腾讯AI Lab与厦门大学合作，探讨了大语言模型推理中的「过思考」与「欠思考」问题，并提出了一种高效树搜索框架Fetch。研究揭示了传统树搜索算法在推理过程中的效率瓶颈，提出通过冗余节点合并和验证方差抑制来优化推理性能。实验结果表明，该框架有效提升了推理效率，降低了计算开销。,LLM,Tencent,"宋林峰, 涂兆鹏, 苏劲松, 王安特",https://mp.weixin.qq.com/s/TZVzF5YWOduMFLFybs47Gw
量子位,2025-03-21 12:06:28,招聘｜量子位智库AI分析师,量子位智库招聘AI分析师,量子位智库正在招聘AI分析师和助理分析师，聚焦于AIGC领域的行业研究和产品数据分析。AI分析师需负责深度产业报告的撰写和专家联系，助理分析师则需收集和分析AI产品相关数据。招聘要求包括学习能力、逻辑分析能力和相关专业背景。量子位智库致力于促进AI产业的交流与进步，欢迎有志之士加入团队。,Other,Other,None,https://mp.weixin.qq.com/s/aKnUJ7REuSyxeKhG8UtvZA
