标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"I Have Covered All the Bases Here: Interpreting Reasoning Features in
  Large Language Models via Sparse Autoencoders",我已覆盖所有基础：通过稀疏自编码器解释大语言模型中的推理特征,LLM,Other,https://arxiv.org/pdf/2503.18878,https://huggingface.co/papers/2503.18878,本论文探讨了大型语言模型（LLMs）中的推理机制，特别是开源模型DeepSeek-R1。研究者采用稀疏自编码器（SAEs）来识别和提取驱动推理的特征。通过实证分析，验证了这些“推理特征”与模型推理能力之间的直接关联。研究结果表明，系统性地调整这些特征可以显著提升推理性能，首次提供了LLMs推理的机械性解释。这项工作为理解和优化语言模型的推理能力奠定了基础。相关代码可在GitHub上获取。,70
"When Less is Enough: Adaptive Token Reduction for Efficient Image
  Representation",当少即是多：用于高效图像表示的自适应标记减少,Multimodal LLM,Other,https://arxiv.org/pdf/2503.16660,https://huggingface.co/papers/2503.16660,本文提出了一种新方法，通过自适应选择视觉特征来减少视觉编码器生成的冗余视觉标记，从而降低计算成本。研究者结合了自编码器和Gumbel-Softmax选择机制，能够识别并保留最具信息量的视觉标记。实验结果表明，在OCR任务中，超过50%的视觉上下文可以被去除而性能损失极小；在一般任务中，仅保留30%的标记便可达到与全标记集相当的性能。这一方法为高效的多模态特征剪枝提供了新的思路，促进了可扩展和低开销的推理。,55
Position: Interactive Generative Video as Next-Generation Game Engine,位置：互动生成视频作为下一代游戏引擎,Other,Other,https://arxiv.org/pdf/2503.17359,https://huggingface.co/papers/2503.17359,本论文提出了互动生成视频（IGV）作为下一代游戏引擎（GGE）的基础，旨在解决现代游戏开发中因传统引擎的固定内容而导致的创造力和成本挑战。IGV利用视频生成模型的优势，实现无限高质量内容的合成、物理感知的世界建模、用户控制的互动性以及长期记忆和因果推理能力。论文还提供了GGE的核心模块框架及其发展路线图，展望AI驱动的生成系统将如何根本改变游戏的创作和体验方式，为游戏开发指明了新的方向。,51
"MAPS: A Multi-Agent Framework Based on Big Seven Personality and
  Socratic Guidance for Multimodal Scientific Problem Solving",MAPS：基于大七人格和苏格拉底指导的多智能体框架用于多模态科学问题解决,Agent,Other,https://arxiv.org/pdf/2503.16905,https://huggingface.co/papers/2503.16905,这篇论文提出了一种名为MAPS的多智能体框架，旨在解决多模态科学问题（MSPs），即需要整合文本和图表等多种形式的信息的复杂问题。针对当前MSPs面临的多模态推理和反思能力不足的挑战，MAPS框架设计了七个不同的智能体，通过反馈机制和苏格拉底式指导来促进问题解决。该框架采用四个阶段的逐步解决策略，并引入批判性智能体以激发自主学习。实验结果表明，MAPS在EMMA、Olympiad和MathVista数据集上表现优异，超越了现有最先进模型15.84%的性能，验证了其有效性和泛化能力。,45
Video-T1: Test-Time Scaling for Video Generation,Video-T1：视频生成的测试时间缩放,Other,"THU, Tencent",https://arxiv.org/pdf/2503.18942,https://huggingface.co/papers/2503.18942,"本文提出了一种新的视频生成方法，称为测试时扩展（Test-Time Scaling, TTS），旨在通过增加推理时间的计算资源来提高视频生成的质量。研究者将视频生成的测试时扩展视为一个搜索问题，以从高斯噪声空间中采样更好的视频轨迹。为此，他们设计了一个名为“框架树”（Tree-of-Frames, ToF）的高效方法，能够自适应地扩展和修剪视频分支。实验结果表明，增加测试时计算显著提升了生成视频的质量，使其更符合给定的文本提示。这一研究为视频生成领域提供了新的思路和方法。",45
"MARS: A Multi-Agent Framework Incorporating Socratic Guidance for
  Automated Prompt Optimization",MARS：一个结合苏格拉底指导的多智能体框架用于自动化提示优化,Agent,Other,https://arxiv.org/pdf/2503.16874,https://huggingface.co/papers/2503.16874,本文提出了一种名为MARS的多智能体框架，旨在通过引入苏格拉底指导实现自动化提示优化（APO）。MARS通过七个具有不同功能的智能体，利用自动规划和逐步优化的方法，克服了现有APO方法在灵活性和搜索效率上的局限。该框架采用教师-批评者-学生的对话模式，迭代优化提示并有效搜索设计空间。通过在多种数据集上的实验验证，MARS展示了其在提升提示质量和响应效果方面的有效性，为大语言模型的应用提供了更灵活的优化工具。,38
"RoboFactory: Exploring Embodied Agent Collaboration with Compositional
  Constraints","[翻译]RoboFactory: Exploring Embodied Agent Collaboration with Compositional
  Constraints",Other,Other,https://arxiv.org/pdf/2503.16408,https://huggingface.co/papers/2503.16408,无法生成摘要。,33
"Bridging Continuous and Discrete Tokens for Autoregressive Visual
  Generation",桥接连续和离散标记以实现自回归视觉生成,Other,"ByteDance, PKU",https://arxiv.org/pdf/2503.16430,https://huggingface.co/papers/2503.16430,本文提出了一种名为TokenBridge的方法，旨在解决自回归视觉生成模型中离散和连续标记之间的矛盾。传统的离散标记虽然易于建模，但存在信息损失和训练不稳定的问题；而连续标记则能更好地保留视觉细节，但建模复杂。TokenBridge通过后训练量化将离散化过程与标记器训练解耦，采用逐维量化策略独立处理特征维度，并结合轻量级自回归预测机制，有效管理大规模标记空间。实验表明，该方法在重建和生成质量上与连续方法相当，同时保持了标准的分类预测，展示了结合离散与连续方法的潜力，为高质量视觉生成提供了新的方向。,28
"OpenVLThinker: An Early Exploration to Complex Vision-Language Reasoning
  via Iterative Self-Improvement",OpenVLThinker：通过迭代自我改进对复杂视觉-语言推理的早期探索,Multimodal LLM,Other,https://arxiv.org/pdf/2503.17352,https://huggingface.co/papers/2503.17352,本文介绍了OpenVLThinker，一个旨在提升复杂视觉-语言推理能力的模型。研究基于DeepSeek-R1的成功经验，探索如何将复杂推理能力整合到大型视觉-语言模型（LVLMs）中。通过迭代自我改进的方法，结合轻量级训练数据的监督微调（SFT）与强化学习（RL），模型在多个多模态推理任务上表现出显著提升。OpenVLThinker在MathVista、MathVerse和MathVision等基准测试中展现了持续改进的推理性能，证明了该策略在增强视觉-语言推理方面的潜力。相关代码和数据可在GitHub上获取。,20
Aether: Geometric-Aware Unified World Modeling,Aether: 几何感知统一世界建模,Embodied AI,Shanghai AI Lab,https://arxiv.org/pdf/2503.18945,https://huggingface.co/papers/2503.18945,本论文提出了Aether，一个统一的框架，旨在实现几何感知的世界建模。Aether通过共同优化四维动态重建、基于动作的视频预测和基于目标的视觉规划，解决了几何重建与生成建模的整合挑战。该框架在完全使用合成数据的情况下，展示了卓越的合成到真实的泛化能力，并在未观察真实数据的情况下，超越了领域特定模型的重建性能。此外，Aether利用几何信息的动作空间，实现了有效的自主轨迹规划。该研究为物理合理的世界建模及其应用开辟了新的前沿。,20
