标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Impossible Videos,不可能的视频,18 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.14378,https://www.arxiv.org/abs/2503.14378,https://www.alphaxiv.org/abs/2503.14378,本论文提出了“Impossible Videos”的概念，旨在探索合成视频生成和理解模型在处理不可能场景方面的能力。研究通过引入IPV-B ENCH基准，涵盖了四个领域和十四个类别，评估视频生成模型在创作不可能内容时的创意和遵循能力，以及视频理解模型在推理时间动态和世界知识方面的表现。研究结果揭示了当前模型的局限性，并为未来的视频模型发展提供了重要的方向，强调了不可能视频在测试和推动AI进步中的潜力。,0
MusicInfuser: Making Video Diffusion Listen and Dance,MusicInfuser：让视频扩散听音乐和跳舞,18 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.14505,https://www.arxiv.org/abs/2503.14505,https://www.alphaxiv.org/abs/2503.14505,论文《MusicInfuser: Making Video Diffusion Listen and Dance》介绍了一种新方法，称为MusicInfuser，旨在生成与指定音乐同步的高质量舞蹈视频。该方法通过轻量级的音乐-视频交叉注意力机制和低秩适配器，对现有的视频扩散模型进行调整，无需运动捕捉数据，仅使用舞蹈视频进行训练。MusicInfuser不仅保留了文本模态的丰富知识，允许用户通过文本提示控制舞蹈风格和场景，还能生成群体舞蹈和较长的视频。研究表明，该方法有效地将音乐与视频生成相结合，推动了多模态生成技术的发展。,0
Deeply Supervised Flow-Based Generative Models,深度监督流式生成模型,18 Mar 2025,Other,ByteDance,https://arxiv.org/pdf/2503.14494,https://www.arxiv.org/abs/2503.14494,https://www.alphaxiv.org/abs/2503.14494,本文提出了一种新颖的生成模型框架DeepFlow，旨在提高流式生成模型的训练效率和性能。通过在变换器层之间引入深度监督和轻量级的速度精炼块（VeRA），DeepFlow优化了中间层的速度表示，从而实现了更快的模型收敛。与先前的模型相比，DeepFlow在ImageNet-256上训练速度提高了8倍，同时在生成质量上表现优越，FID分数降低了2.6。该模型在文本到图像生成任务中也超越了基线，展示了其在视觉生成领域的潜力。,0
DiffMoE: Dynamic Token Selection for Scalable Diffusion Transformers,DiffMoE：可扩展扩散变换器的动态令牌选择,18 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.14487,https://www.arxiv.org/abs/2503.14487,https://www.alphaxiv.org/abs/2503.14487,本文提出了一种新颖的混合专家架构DiffMoE，旨在提升扩散变换器（Diffusion Transformers）在视觉生成任务中的表现。DiffMoE通过引入全局令牌池和动态计算资源分配机制，允许专家根据噪声水平和样本复杂性灵活选择输入令牌，从而增强了模型对不同条件的适应能力。经过全面评估，DiffMoE在ImageNet基准测试中表现优于现有的密集架构和其他混合专家方法，同时保持相同数量的激活参数。该方法不仅在类条件生成任务中表现出色，还在更具挑战性的文本生成任务中展现了广泛的适用性。,0
Bolt3D: Generating 3D Scenes in Seconds,Bolt3D：秒级生成3D场景,18 Mar 2025,Diffusion Model,"Google, DeepMind",https://arxiv.org/pdf/2503.14445,https://www.arxiv.org/abs/2503.14445,https://www.alphaxiv.org/abs/2503.14445,论文《Bolt3D: Generating 3D Scenes in Seconds》提出了一种快速生成3D场景的潜在扩散模型Bolt3D。该模型能够根据一张或多张输入图像，在不到七秒的时间内生成高保真的3D场景表示，显著降低了推理成本。Bolt3D利用可扩展的2D扩散网络架构，克服了传统3D生成模型在生成高分辨率全景时的挑战。通过创建大规模的多视图一致性数据集，该模型有效地实现了从输入图像直接生成360度场景，为互动可视化和编辑等应用提供了新的可能性。,0
RFMI: Estimating Mutual Information on Rectified Flow for Text-to-Image Alignment,RFMI：基于修正流估计文本到图像对齐的互信息,18 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.14358,https://www.arxiv.org/abs/2503.14358,https://www.alphaxiv.org/abs/2503.14358,本文提出了一种新的互信息估计方法RFMI，用于改进文本到图像生成模型（T2I）的对齐问题。尽管现有的Rectified Flow（RF）模型在生成质量上表现出色，但仍存在图像与文本提示不匹配的问题。RFMI利用预训练模型自我估计互信息，避免了对辅助数据的依赖。通过自监督的微调方法，RFMI能够有效提高生成图像与文本的对齐度，同时保持图像质量。实验结果表明，RFMI在互信息估计和T2I对齐方面均表现出显著的有效性。,0
VEGGIE: Instructional Editing and Reasoning Video Concepts with Grounded Generation,VEGGIE：基于基础生成的指令编辑与推理视频概念,18 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.14350,https://www.arxiv.org/abs/2503.14350,https://www.alphaxiv.org/abs/2503.14350,本文提出了VEGGIE，一个统一的视频生成模型，旨在通过用户指令实现视频概念的编辑和推理。VEGGIE能够处理多种任务，包括添加、删除和更改视频中的对象。该模型利用多模态大语言模型（MLLM）理解用户意图，并生成与视频内容相匹配的编辑请求，最终通过扩散模型生成符合用户需求的编辑视频。VEGGIE在处理复杂指令和多任务编辑方面表现出色，超越了现有的基线模型，展示了在零-shot多模态指令和上下文视频编辑中的潜在应用价值。,0
LeanVAE: An Ultra-Efficient Reconstruction VAE for Video Diffusion Models,LeanVAE：一种超高效的视频扩散模型重建变分自编码器,18 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.14325,https://www.arxiv.org/abs/2503.14325,https://www.alphaxiv.org/abs/2503.14325,本论文提出了一种名为LeanVAE的超高效视频变分自编码器（VAE）框架，旨在优化视频扩散模型中的视频重建过程。LeanVAE通过引入轻量级的Neighborhood-Aware Feedforward模块和非重叠的补丁操作，显著降低了计算成本，同时结合小波变换和压缩感知技术提升重建质量。实验结果表明，LeanVAE在视频重建和生成方面表现优越，能够实现高达50倍的浮点运算减少和44倍的推理速度提升，提供了可扩展且高效的视频生成解决方案。模型和代码可在GitHub上获取。,0
PLAY2PROMPT: Zero-shot Tool Instruction Optimization for LLM Agents via Tool Play,PLAY2PROMPT：通过工具游戏进行LLM智能体的零-shot工具指令优化,18 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.14432,https://www.arxiv.org/abs/2503.14432,https://www.alphaxiv.org/abs/2503.14432,论文提出了PLAY2PROMPT，一个自动化框架，旨在优化大型语言模型（LLM）在零-shot环境下对外部工具的使用。当前许多工具的文档不足或不准确，导致LLM在调用工具时出现问题。PLAY2PROMPT通过模拟人类的试错过程，系统性地与工具互动，生成高质量的工具使用示例和文档，而无需任何标注数据。实验表明，该方法显著提升了LLM在真实任务中的零-shot工具性能，提供了一种可扩展且有效的解决方案，适用于领域特定工具的集成。,0
Empowering GraphRAG with Knowledge Filtering and Integration,通过知识过滤和整合增强GraphRAG,18 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.13804,https://www.arxiv.org/abs/2503.13804,https://www.alphaxiv.org/abs/2503.13804,本论文提出了GraphRAG-FI（Filtering & Integration），旨在解决现有图检索增强生成（GraphRAG）方法中的两个主要问题：一是容易检索到噪声和无关信息，二是过度依赖外部知识抑制模型的内在推理能力。通过引入双阶段过滤机制和基于logits的选择策略，GraphRAG-FI能够提高检索信息的质量，同时有效整合外部知识与语言模型的内在推理。实验结果表明，该方法在知识图谱问答任务中显著提升了推理性能，建立了更可靠的GraphRAG框架。,0
