标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"AdaptiVocab: Enhancing LLM Efficiency in Focused Domains through
  Lightweight Vocabulary Adaptation",AdaptiVocab：通过轻量级词汇适应提升专注领域中的大语言模型效率,LLM,Other,https://arxiv.org/pdf/2503.19693,https://huggingface.co/papers/2503.19693,本文介绍了一种名为AdaptiVocab的创新方法，旨在通过轻量级词汇适应提升大型语言模型（LLMs）在特定领域的效率。AdaptiVocab通过用领域特定的n-gram代替通用词汇，减少输入处理和输出生成所需的标记数量，从而降低延迟和计算成本。该方法可适用于任何分词器和模型架构，并在单个GPU上高效进行轻量级微调。实验结果显示，AdaptiVocab在三个小众领域中成功将标记使用量减少超过25%，同时保持生成质量和任务性能，展示了其在低资源环境下的有效性。,31
"Exploring Data Scaling Trends and Effects in Reinforcement Learning from
  Human Feedback",探索人类反馈强化学习中的数据缩放趋势与影响,LLM,ByteDance,https://arxiv.org/pdf/2503.22230,https://huggingface.co/papers/2503.22230,本论文探讨了人类反馈强化学习（RLHF）中数据构建对性能扩展的影响，强调了奖励黑客和响应多样性下降等数据驱动瓶颈。为解决这些问题，提出了一种结合推理任务验证器（RTV）和生成奖励模型（GenRM）的混合奖励系统，以减轻奖励黑客的影响。此外，提出了新颖的提示选择方法Pre-PPO，以保持响应多样性并提高学习效果。研究发现，优先考虑数学和编码任务能显著提升早期训练表现。通过在两种模型规模上的实验验证了这些方法的有效性，强调了精心的数据构建在RLHF中的重要性。,21
"Think Before Recommend: Unleashing the Latent Reasoning Power for
  Sequential Recommendation",在推荐之前思考：释放序列推荐的潜在推理能力,Other,Alibaba,https://arxiv.org/pdf/2503.22675,https://huggingface.co/papers/2503.22675,本论文提出了ReaRec，一个创新的推理框架，旨在提高序列推荐系统的性能。传统方法通常依赖于直接的前向计算，导致对用户偏好的复杂演变和长尾项目的理解不足。ReaRec通过隐式多步推理增强用户表示，结合特殊的推理位置嵌入，解耦原始项目编码和推理空间。此外，论文引入了两种轻量级的推理学习方法（ERL和PRL）以进一步挖掘推理潜力。实验证明，ReaRec在多个公共数据集上显著提升了推荐系统的性能，提升幅度达30%-50%，为未来的序列推荐研究开辟了新方向。,20
"A Survey of Efficient Reasoning for Large Reasoning Models: Language,
  Multimodality, and Beyond",大型推理模型高效推理的调查：语言、多模态及其他,Multimodal LLM,"Shanghai AI Lab, PKU",https://arxiv.org/pdf/2503.21614,https://huggingface.co/papers/2503.21614,本文对大型推理模型（LRMs）在推理效率方面的挑战进行了全面调查。尽管近期LRMs在推理过程中通过扩展思维链（CoT）长度取得了显著性能提升，但它们往往生成冗长且重复的推理过程，导致训练和实际应用中的效率问题。论文识别了这些低效模式，并回顾了从预训练到推理的不同阶段所提出的改进方法。研究还探讨了未来的研究方向，并维护了一个实时更新的GitHub库，以支持该领域的持续发展。此调查为进一步探索和创新奠定了基础。,16
ORIGEN: Zero-Shot 3D Orientation Grounding in Text-to-Image Generation,ORIGEN：文本到图像生成中的零-shot 3D方向定位,Diffusion Model,Other,https://arxiv.org/pdf/2503.22194,https://huggingface.co/papers/2503.22194,本文提出了ORIGEN，这是首个在文本到图像生成中实现零-shot 3D方向定位的方法，能够处理多个对象和多样化类别。与以往主要关注2D位置的空间定位研究不同，ORIGEN通过采用预训练的判别模型进行3D方向估计，结合一种基于奖励引导的采样方法，克服了对图像真实感的挑战。通过引入Langevin动力学和自适应时间重缩放，ORIGEN在多个量化指标和用户研究中超越了现有的训练和测试指导方法，展现了其在生成高质量、准确对齐图像方面的优势。,14
"Free4D: Tuning-free 4D Scene Generation with Spatial-Temporal
  Consistency",Free4D：无调优的具有时空一致性的4D场景生成,Diffusion Model,Other,https://arxiv.org/pdf/2503.20785,https://huggingface.co/papers/2503.20785,论文提出了Free4D，一个无需调优的框架，能够从单张图像生成4D场景。与现有方法不同，Free4D不依赖于大规模多视角视频数据，而是利用预训练的基础模型来实现一致的4D场景表示。该方法首先通过图像到视频的扩散模型对输入图像进行动画处理，然后采用自适应引导机制和新颖的潜在替换策略，确保生成视频在空间和时间上的一致性。最终，结合调制基础的细化技术，Free4D实现了实时、可控的4D渲染，显著推动了基于单图像的4D场景生成研究。,11
"PHYSICS: Benchmarking Foundation Models on University-Level Physics
  Problem Solving",物理学：大学水平物理问题解决的基础模型基准测试,LLM,Other,https://arxiv.org/pdf/2503.21821,https://huggingface.co/papers/2503.21821,本文介绍了PHYSICS，一个针对大学水平物理问题解决的全面基准测试，涵盖了1297个专家注释的问题，涉及经典力学、量子力学、热力学与统计力学、电磁学、原子物理和光学六个核心领域。研究开发了一个自动化评估系统，以确保精确可靠的验证。对领先的基础模型的评估显示出显著的局限性，最先进的模型o3-mini的准确率仅为59.9%。通过错误分析和多样化的提示策略探索，本文识别了改进的关键领域，为未来的进展奠定了基础。,10
"Hi3DGen: High-fidelity 3D Geometry Generation from Images via Normal
  Bridging",Hi3DGen：通过法线桥接从图像生成高保真3D几何体,Diffusion Model,"ByteDance, THU",https://arxiv.org/pdf/2503.22236,https://huggingface.co/papers/2503.22236,本文提出了Hi3DGen，一个新颖的框架，通过法线桥接技术从2D图像生成高保真3D几何模型。该框架包含三个核心组件：图像到法线估计器、法线到几何学习方法，以及3D数据合成管道。通过噪声注入和双流训练，图像到法线估计器实现了稳定且清晰的估计；法线正则化的潜在扩散学习提高了3D几何生成的保真度。实验结果显示，Hi3DGen在生成细致的几何细节方面优于现有最先进的方法，为高保真3D几何生成提供了新的研究方向。,9
Segment Any Motion in Videos,视频中任意运动的分割,Other,PKU,https://arxiv.org/pdf/2503.22268,https://huggingface.co/papers/2503.22268,本论文提出了一种新颖的移动对象分割方法，旨在提高视频中运动物体的识别精度。该方法结合了长距离轨迹运动线索与基于DINO的语义特征，并利用SAM2进行像素级掩膜细化。通过引入时空轨迹注意力和运动-语义解耦嵌入，模型在优先考虑运动的同时整合了语义信息。经过在多样化数据集上的广泛测试，结果表明该方法在复杂场景和多对象细分中表现出色，达到了最先进的性能。这一研究为视频分析及相关应用提供了重要的技术支持。,7
"4D-Bench: Benchmarking Multi-modal Large Language Models for 4D Object
  Understanding",4D-Bench：多模态大语言模型在4D物体理解中的基准测试,Multimodal LLM,Other,https://arxiv.org/pdf/2503.17827,https://huggingface.co/papers/2503.17827,本文介绍了4D-Bench，这是首个用于评估多模态大型语言模型（MLLMs）在4D物体理解能力的基准。4D物体是指具有时间演变的3D物体，4D-Bench包括4D物体问答和4D物体描述等任务，提供多样化的4D物体类别和高质量注释。实验结果显示，MLLMs在时间理解方面表现较弱，尤其是开源模型在外观理解上接近闭源模型，但在时间理解上差距更大。此外，即使在简单的单对象视频中，MLLMs的表现也远低于人类基线，显示出4D物体理解领域的显著差距和进一步发展的必要性。,6
