标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Long-Context Autoregressive Video Modeling with Next-Frame Prediction,基于下一帧预测的长上下文自回归视频建模,Other,Other,https://arxiv.org/pdf/2503.19325,https://huggingface.co/papers/2503.19325,本论文提出了Frame AutoRegressive (FAR) 模型，旨在提升视频生成中的长时间上下文建模能力。与传统的语言模型不同，FAR专注于连续帧之间的因果关系，克服了现有模型在处理长视频序列时的局限性。为了解决视觉冗余和计算成本高的问题，论文引入了FlexRoPE技术，增强了远程上下文的时间衰减能力，并提出了长短期上下文建模策略，以有效利用短期和长期信息。实验结果表明，FAR在短视频和长视频生成任务中均表现出色，为视频自回归建模提供了一个简单有效的基线。,54
CoMP: Continual Multimodal Pre-training for Vision Foundation Models,CoMP：视觉基础模型的持续多模态预训练,Multimodal LLM,Other,https://arxiv.org/pdf/2503.18931,https://huggingface.co/papers/2503.18931,本文提出了一种名为CoMP的持续多模态预训练方法，旨在增强视觉基础模型（VFM）在处理不同尺寸视觉输入时的能力，并使其视觉表示与语言表示更好地对齐。CoMP采用了持续旋转位置嵌入和视觉与文本特征之间的对齐损失，以实现多模态表示的优化。经过三阶段的训练，CoMP显著提升了VFM在多模态理解、分类和分割等下游任务的表现。实验结果显示，CoMP-SigLIP在ChartQA和DocVQA上获得了66.7和75.9的高分，同时在ImageNet-1K和ADE20K上也保持了较高的准确率和均值交并比。,22
"Inference-Time Scaling for Flow Models via Stochastic Generation and
  Rollover Budget Forcing",通过随机生成和预算强制的推理时间扩展流模型,Diffusion Model,Other,https://arxiv.org/pdf/2503.19385,https://huggingface.co/papers/2503.19385,本论文提出了一种针对预训练流模型的推理时间扩展方法，以提高生成样本的质量和用户偏好的对齐。研究者引入了三项关键技术：1) 基于随机微分方程（SDE）的生成，允许在流模型中进行粒子采样；2) 插值转换，扩大搜索空间并增强样本多样性；3) 滚动预算强制（RBF），在时间步之间自适应分配计算资源以优化预算利用。实验结果表明，基于VP插值的SDE生成方法显著提升了流模型的推理时间扩展性能，RBF与VP-SDE结合实现了最佳效果，超越了现有的推理时间扩展方法。,20
"Exploring Hallucination of Large Multimodal Models in Video
  Understanding: Benchmark, Analysis and Mitigation",探索大型多模态模型在视频理解中的幻觉：基准、分析与缓解,Multimodal LLM,Other,https://arxiv.org/pdf/2503.19622,https://huggingface.co/papers/2503.19622,本论文探讨了大型多模态模型（LMMs）在视频理解任务中的幻觉现象，即模型提供看似正确但实际上错误的回答。为此，作者提出了一个名为HAVEN的基准，涵盖了幻觉的成因、方面和问题格式，共包含6000个问题。通过对16个LMMs的实验，研究了7个影响幻觉的因素，并提出了一种视频思维模型，利用监督推理微调（SRFT）和直接偏好优化（TDPO）来缓解幻觉。实验结果表明，该方法在幻觉评估的准确率上提高了7.65%，并减少了4.5%的偏差分数，展示了有效性。相关代码和数据已公开。,19
"Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection
  with Artifact Explanation",识别伪造：基于大型多模态模型的合成图像检测与伪影解释,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.14905,https://huggingface.co/papers/2503.14905,本论文介绍了FakeVLM，一个专门设计的大型多模态模型，用于检测合成图像和DeepFake。随着人工智能生成内容技术的快速发展，合成图像的普及带来了真实性评估的新挑战。FakeVLM不仅能有效区分真实与虚假图像，还能提供清晰的自然语言解释，增强了可解释性。此外，研究团队还推出了FakeClue数据集，包含超过10万张标注有细粒度伪造线索的图像。FakeVLM在多个数据集上的评估结果显示，其在真实性分类和伪造解释任务上表现优越，成为合成图像检测的新标杆。相关数据集和代码将公开发布。,14
Scaling Vision Pre-Training to 4K Resolution,将视觉预训练扩展到4K分辨率,Multimodal LLM,Other,https://arxiv.org/pdf/2503.19903,https://huggingface.co/papers/2503.19903,这篇论文提出了一种名为PS3的新方法，能够将视觉预训练扩展到4K分辨率，同时保持近乎恒定的计算成本。通过选择性处理局部区域并与详细的局部标题进行对比，PS3有效地实现了高分辨率的表示学习。基于PS3的多模态大语言模型VILA-HD在高分辨率视觉感知方面显著优于现有基线，且使用的令牌数量减少了最多4.3倍。此外，VILA-HD在多个基准测试中超越了其他最新模型，并提出了4KPro新基准，以评估4K分辨率的图像问答能力。,12
"Feather-SQL: A Lightweight NL2SQL Framework with Dual-Model
  Collaboration Paradigm for Small Language Models",Feather-SQL：一种轻量级的NL2SQL框架，采用双模型协作范式以支持小型语言模型,LLM,Other,https://arxiv.org/pdf/2503.17811,https://huggingface.co/papers/2503.17811,本文介绍了Feather-SQL，一个针对小型语言模型（SLMs）的轻量级自然语言到SQL（NL2SQL）框架，旨在提升其在SQL生成任务中的表现。Feather-SQL通过模式修剪与链接、以及多路径和多候选生成来提高SQL的可执行性和准确性。此外，框架引入了1+1模型协作范式，结合了强大的通用聊天模型与经过微调的SQL专家模型，从而增强分析推理能力与SQL生成精度。实验结果表明，Feather-SQL在BIRD数据集上显著提升了SLMs的NL2SQL性能，未微调模型的准确率提高约10%，最高可达54.76%。该框架为小型模型在实际应用中的推广提供了新的可能性。,10
"Think Twice: Enhancing LLM Reasoning by Scaling Multi-round Test-time
  Thinking",三思而后行：通过扩展多轮测试时间思维增强大语言模型推理,LLM,Other,https://arxiv.org/pdf/2503.19855,https://huggingface.co/papers/2503.19855,本论文提出了一种名为“多轮思考”的测试时间扩展方法，以提升大语言模型（LLMs）的推理能力。该方法通过迭代利用先前答案作为后续轮次的提示，逐步改善模型的推理效果。实验结果表明，多个模型在多个基准测试中表现出显著的性能提升，例如QwQ-32B在AIME 2024数据集上的准确率从80.3%提升至82.1%。该研究强调了多轮思考作为一种简单有效的技术，具有广泛的适用性和未来发展的潜力，为模型在复杂任务中的表现提供了新的思路。,8
CoLLM: A Large Language Model for Composed Image Retrieval,CoLLM：用于组合图像检索的大型语言模型,Multimodal LLM,Amazon,https://arxiv.org/pdf/2503.19910,https://huggingface.co/papers/2503.19910,本论文提出了CoLLM，一个针对组合图像检索（CIR）的大型语言模型框架，旨在解决现有方法在数据稀缺和复杂修改文本理解方面的局限。CoLLM通过实时生成包含参考图像和修改文本的三元组，支持无须人工标注的监督训练，并利用大型语言模型实现多模态融合。此外，研究团队推出了包含340万样本的多文本CIR（MTCIR）数据集，并改进了现有CIR基准，以提高评估的可靠性。实验结果表明，CoLLM在多个CIR基准上达到了最先进的性能，MTCIR在性能上提升可达15%。此研究为CIR领域的发展做出了重要贡献。,6
"MDocAgent: A Multi-Modal Multi-Agent Framework for Document
  Understanding",MDocAgent：用于文档理解的多模态多智能体框架,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13964,https://huggingface.co/papers/2503.13964,本文提出了MDocAgent，一个多模态多智能体框架，用于文档理解和文档问答（DocQA）。与现有方法不同，MDocAgent同时整合文本和图像信息，通过五个专门的智能体（包括文本和图像智能体）进行多模态上下文检索。这种协作方式增强了系统对文档内容的综合理解，提高了问答的准确性。初步实验表明，MDocAgent在多个基准测试中平均提升了12.1%的性能，显示出其在处理复杂文档时的有效性，推动了更强大、全面的DocQA系统的发展。数据和代码可在GitHub上获取。,6
