标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"One-Step Residual Shifting Diffusion for Image Super-Resolution via
  Distillation",通过蒸馏实现的一步残差转移扩散图像超分辨率,Diffusion Model,Other,https://arxiv.org/pdf/2503.13358,https://huggingface.co/papers/2503.13358,本文提出了一种新的图像超分辨率（SR）方法——RSD，旨在提高基于扩散模型的SR性能。RSD通过蒸馏技术训练学生网络，使其生成的图像与教师模型一致，从而实现单步恢复。与现有的蒸馏方法（如SinSR和OSEDiff）相比，RSD在感知质量上表现更优，并且在参数和GPU内存使用上更为高效。实验结果表明，RSD在多个真实和合成数据集上均表现出色，显示出与最先进的SR方法相当的性能，具有更好的图像对齐能力。,39
"Stop Overthinking: A Survey on Efficient Reasoning for Large Language
  Models",停止过度思考：大语言模型高效推理的调查,LLM,OpenAI,https://arxiv.org/pdf/2503.16419,https://huggingface.co/papers/2503.16419,本论文对大型语言模型（LLMs）在高效推理方面的研究进行了系统性调查。尽管最近的进展提升了LLMs在复杂任务中的表现，但长链推理（CoT）序列的使用导致了计算开销的增加，形成了“过度思考现象”。本文提出了针对高效推理的几种关键方向，包括模型优化、动态减少推理步骤以及基于输入提示的推理效率提升。此外，论文还探讨了有效数据的应用和小型语言模型的推理能力，旨在为这一新兴领域提供清晰的研究框架和持续更新的资源。,27
Unleashing Vecset Diffusion Model for Fast Shape Generation,释放Vecset扩散模型以实现快速形状生成,Diffusion Model,Tencent,https://arxiv.org/pdf/2503.16302,https://huggingface.co/papers/2503.16302,本论文提出了FlashVDM，一个系统框架，用于加速Vecset扩散模型（VDM）在3D形状生成中的应用。尽管VDM在生成高分辨率3D形状方面表现出色，但在速度上仍存在不足。FlashVDM通过优化扩散采样和变分自编码器（VAE）解码过程，显著提高了生成速度。具体而言，FlashVDM允许在仅5步推理下实现灵活的扩散采样，并引入了高效的解码器设计，降低了计算复杂度。实验结果显示，FlashVDM在重构和生成任务中分别减少了超过45倍和32倍的推理时间，同时保持了与最先进方法相当的性能。这一进展为快速3D生成提供了新的解决方案。,23
DiffMoE: Dynamic Token Selection for Scalable Diffusion Transformers,DiffMoE：可扩展扩散变换器的动态令牌选择,Diffusion Model,Other,https://arxiv.org/pdf/2503.14487,https://huggingface.co/papers/2503.14487,论文提出了一种新颖的混合专家架构DiffMoE，旨在提升扩散变换器在图像生成任务中的性能。DiffMoE通过引入一个批次级全局令牌池，使专家能够在训练期间访问全球令牌分布，从而实现更专业的专家行为。此外，DiffMoE结合了动态容量预测器，根据噪声水平和样本复杂性动态分配计算资源。经过全面评估，DiffMoE在ImageNet基准测试中表现出色，显著超越了传统密集架构和现有的混合专家方法，且在保持计算效率的同时，适用于更具挑战性的任务，如文本到图像生成。这一方法展示了其广泛的应用潜力。,19
Survey on Evaluation of LLM-based Agents,基于LLM的智能体评估调查,Agent,Other,https://arxiv.org/pdf/2503.16416,https://huggingface.co/papers/2503.16416,本论文对基于大型语言模型（LLM）的智能体评估方法进行了首次全面调查，分析了四个关键维度的评估基准和框架，包括基本能力、应用特定基准、通用智能体基准以及评估框架。研究揭示了评估方法向更真实和具有挑战性的方向发展，同时指出了在成本效率、安全性和鲁棒性等方面的研究空白。该调查为快速发展的智能体评估领域提供了清晰的地图，识别了当前的限制，并提出了未来研究的方向，强调了可靠评估对确保智能体在实际应用中有效性的必要性。,17
Cosmos-Reason1: From Physical Common Sense To Embodied Reasoning,Cosmos-Reason1：从物理常识到具身推理,Embodied AI,Other,https://arxiv.org/pdf/2503.15558,https://huggingface.co/papers/2503.15558,本论文介绍了Cosmos-Reason1模型，旨在提升物理人工智能系统在物理世界中的感知、理解和决策能力。作者定义了物理常识和体现推理的关键能力，并构建了层次化本体来表示物理常识，以及二维本体以支持不同物理体现的推理。论文开发了两个多模态大型语言模型（Cosmos-Reason1-8B和Cosmos-Reason1-56B），并通过视觉预训练、监督微调和强化学习等四个阶段进行训练。评估结果表明，这些模型在物理常识和体现推理方面表现出显著提升。研究成果将以开源形式提供，促进物理人工智能的发展。,14
"MathFusion: Enhancing Mathematic Problem-solving of LLM through
  Instruction Fusion",MathFusion：通过指令融合增强大语言模型的数学问题解决能力,LLM,"Shanghai AI Lab, THU, PKU",https://arxiv.org/pdf/2503.16212,https://huggingface.co/papers/2503.16212,本论文提出了MathFusion框架，通过跨问题指令融合提升大型语言模型（LLM）的数学问题解决能力。MathFusion采用三种融合策略：顺序融合、并行融合和条件融合，旨在利用数学知识的内在关系。通过这些策略，研究团队生成了新数据集MathFusionQA，并对多个模型（如DeepSeekMath-7B、Mistral-7B、Llama3-8B）进行了微调。实验结果表明，MathFusion在多个基准测试中将数学推理准确率提升了18.0个百分点，同时仅需额外45K的合成指令，显著优于传统方法。相关数据集和代码已公开。,13
"Plug-and-Play 1.x-Bit KV Cache Quantization for Video Large Language
  Models",即插即用的1.x位KV缓存量化方法用于视频大语言模型,Multimodal LLM,Other,https://arxiv.org/pdf/2503.16257,https://huggingface.co/papers/2503.16257,本论文提出了一种名为VidKV的插拔式KV缓存量化方法，旨在降低视频大型语言模型（VideoLLMs）中KV缓存的内存需求。研究发现，2位KV量化对模型性能影响有限，但尚未探索更低位数的量化潜力。VidKV结合了混合精度量化策略和选择性过滤技术，将KV缓存压缩至1.5位和1.58位，几乎不影响模型性能。实验证明，按通道量化的策略优于以往按标记量化的方法，显著提升了内存效率，解决了长视频输入带来的计算瓶颈。,11
"JARVIS-VLA: Post-Training Large-Scale Vision Language Models to Play
  Visual Games with Keyboards and Mouse",JARVIS-VLA：后训练大规模视觉语言模型以使用键盘和鼠标玩视觉游戏,Embodied AI,PKU,https://arxiv.org/pdf/2503.16365,https://huggingface.co/papers/2503.16365,本文提出了一种新颖的视觉语言行动（VLA）模型后训练方法，旨在提升开放世界环境中的决策能力。通过自监督的视觉和语言指导，改进了视觉语言模型（VLM），增强了其在世界知识、视觉识别和空间定位方面的能力。研究中，首次在Minecraft中实现了能够执行超过1000种人类指令的VLA模型，涵盖了多种任务，如制作、冶炼和采矿。实验结果表明，该方法在多样化任务上相比最佳基线提升了40%，并超越了传统模仿学习策略，达到了最先进的性能。相关代码和数据集已开源，以促进后续研究。,10
CaKE: Circuit-aware Editing Enables Generalizable Knowledge Learners,CaKE：电路感知编辑使知识学习者具备泛化能力,LLM,Other,https://arxiv.org/pdf/2503.16356,https://huggingface.co/papers/2503.16356,本文提出了一种新方法CaKE（Circuit-aware Knowledge Editing），旨在增强大型语言模型（LLMs）中知识编辑的有效性。现有的知识编辑方法在处理单一事实更新时表现良好，但在需要多步推理的任务中却难以推广。通过分析LLMs的推理电路，研究发现当前的层局部编辑方法无法有效整合更新的信息。CaKE通过精心策划的数据，促进模型利用修改后的知识，从而提升推理电路的构建能力。实验结果表明，CaKE在MQuAKE数据集上的多步推理准确率平均提高了20%，显著提升了模型对更新知识的准确和一致使用。,9
