公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-22 17:00:11,硅谷投资人爆料：AI爆炸率先发生在中国！芯片扩大1万倍，AI逼近物理极限,AI智能爆炸的前景与中国的领先地位,硅谷投资人Tom Davidson在其长文中预测，AI的全栈大爆炸可能率先在中国发生，随着芯片技术的飞速发展，AI将逼近物理极限。文章探讨了智能爆炸的三种反馈循环：软件、芯片技术和芯片生产，指出这些循环将推动AI能力的显著提升，可能实现13到33个数量级的计算能力增长。AI系统自我设计的能力将加速技术进步，可能在未来十年内改变现有格局。,AGI,Other,Tom Davidson,https://mp.weixin.qq.com/s/FBoRiNMCRse21Qls9Y2xyA
量子位,2025-03-22 15:49:18,50条数据解锁空间智能，RL视觉语言模型3D空间推理框架MetaSpatial ｜西北大学,MetaSpatial: A Reinforcement Learning Framework for 3D Spatial Reasoning in Visual Language Models,MetaSpatial框架通过引入基于规则奖励的强化学习策略，解决了视觉语言模型在三维空间理解任务中的布局生成挑战。研究表明，该方法在仅使用约50条无ground truth数据的情况下，显著提升了模型的空间推理能力和布局质量。MetaSpatial通过可程序化评估的奖励函数，优化布局决策，展示了在缺乏标准答案的复杂任务中，强化学习的有效性和通用性。,Multimodal LLM,Other,"Zhenyu Pan, Han Liu",https://mp.weixin.qq.com/s/RAM7f-qjZitXJZkHPHnAoQ
量子位,2025-03-22 15:49:18,宇树再上大分：机器人全球首次鲤鱼打挺,宇树G1机器人首次完成鲤鱼打挺,宇树G1机器人近日在全球首次成功完成鲤鱼打挺，展示了其在高难度动作上的卓越能力。此外，G1还展示了中国功夫的扫堂腿和太极拳。与此同日，波士顿动力的Atlas也发布了新视频，展示了多种运动技巧。尽管人形机器人在表演方面取得了进展，但也引发了关于其在实际应用中能否为人类提供帮助的讨论。AI机器人的发展速度令人瞩目。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/bcOyJK29D1-k7rRQrBbiwg
量子位,2025-03-22 15:49:18,实测首个烹饪大模型「食神」：DeepSeek进厨房，看脸生成养生食谱，普通人也能做大餐,DeepSeek驱动的烹饪大模型「食神」在健康饮食中的应用,文章介绍了由老板电器推出的全球首个烹饪大模型「食神」，该模型结合了DeepSeek技术，能够根据用户的健康状况生成个性化的饮食计划和菜谱。通过面部识别和体检报告分析，「食神」不仅提供健康饮食建议，还能与智能厨电设备联动，实现自动化烹饪。该模型的多模态能力使其能够理解用户的需求，提升了烹饪体验，成为年轻人追求健康生活的得力助手。,Multimodal LLM,Other,周海昕,https://mp.weixin.qq.com/s/kAYTa_ZIozpcDbup2ijk8g
新智元,2025-03-22 12:30:09,哈佛斯坦福顶尖中国毕业生回流，向DeepSeek疯投简历！美国人才开始逆向归国,中国顶尖毕业生回流趋势及其影响,本文探讨了哈佛和斯坦福等顶尖名校的中国毕业生开始向中国AI公司DeepSeek等投简历的现象，反映出美国人才的逆向归国趋势。与此同时，美国国会对中国留学生的招收情况表示关注，要求相关大学提供详细信息，认为这可能对国家安全构成威胁。这一变化不仅影响了美国高校的财政收入，也可能加速中国在技术领域的崛起。,Other,Other,Victor Huang,https://mp.weixin.qq.com/s/Ux5wxb57b7_xlvj0HxUN1A
新智元,2025-03-22 10:45:27,AI PS卷起来了！谷歌Gemini动嘴P图火出圈，马斯克Grok连夜上线图像编辑,AI图像编辑技术的最新进展：谷歌Gemini与Grok的竞争,新智元报道，Grok推出了新的图片编辑功能，允许用户通过文字描述轻松修改图片，紧随谷歌Gemini引发的热潮。用户可以实现如证件照换西装、黑发变金发等效果，标志着AI技术在图像编辑领域的快速发展。随着AI巨头之间的竞争加剧，传统软件面临挑战，未来的图像编辑将更加依赖简单的自然语言指令，而非复杂的操作流程。尽管当前效果仍处于可玩阶段，AI的进步预示着行业的范式转移。,Multimodal LLM,Google,Elon Musk,https://mp.weixin.qq.com/s/PEfMu7OSeeQ6lgHKlWkuhA
新智元,2025-03-22 09:00:19,追觅扫地机器人逆天进化！机械手+具身大模型「长」出大脑，家庭清洁走向3D空间,追觅扫地机器人具身AI技术进展,本文介绍了追觅扫地机器人在家庭清洁领域的最新技术进化，结合机械手和具身大模型，使其具备更智能的空间感知和操作能力。通过3D空间的理解与交互，机器人能够更高效地完成清洁任务，标志着家庭清洁设备向智能化和自动化的进一步发展。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/Gm1ki40aCCpEoaLBb98UxQ
新智元,2025-03-22 09:00:19,Idea撞车何恺明「分形生成模型」！速度领先10倍，性能更强,ARINAR模型：一种高效的双层自回归图像生成方法,新智元报道，澳大利亚国立大学团队提出了ARINAR模型，该模型采用双层自回归结构逐特征生成图像，显著提升了生成质量和速度，超越了何凯明团队的分形生成模型。ARINAR的生成时间从2分钟降低到12秒，FID从11.8提升到2.75，展现出在图像生成领域的创新与进步。该模型通过逐特征生成的方式，简化了高维token的复杂分布建模，提升了整体性能。,Other,Other,何恺明,https://mp.weixin.qq.com/s/sF3HYIog0bCpDBJ8Gk_KmQ
新智元,2025-03-22 09:00:19,英伟达开源自适应多模态「世界生成」模型！开启机器人、自动驾驶训练革命,Nvidia发布自适应多模态世界生成模型Cosmos-Transfer1,Nvidia推出了名为Cosmos-Transfer1的自适应多模态世界生成模型，该模型能够根据多种模态的空间控制输入生成高度逼真的世界模拟。此技术可用于训练机器人和自动驾驶车辆，旨在缩小模拟训练环境与实际应用之间的差距。Cosmos-Transfer1支持单一和多模态控制生成，并能生成多种风格的视频内容，为未来数字世界的构建带来了新的可能性。,Other,Other,None,https://mp.weixin.qq.com/s/BqYNHHuvGNUBzPjekWaoGQ
机器之心,2025-03-22 16:37:25,2025 年，通用机器人要从实验室走向市场了吗？,2025年通用机器人市场前景分析,本文探讨了通用机器人在2025年的发展趋势，特别是英伟达CEO黄仁勋关于代理式AI和物理AI的预测。文章分析了各大公司在通用机器人领域的技术进展，包括Figure AI的Helix模型、英伟达的GR00T N1等。重点讨论了通用机器人的控制模型、数据问题以及关键玩家的市场竞争，展望了未来可能的市场赢家。,Embodied AI,Other,"黄仁勋, 布雷特·阿德科克",https://mp.weixin.qq.com/s/0rkpP4Str__VAVRZwY5zwA
