公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-03-31 10:22:04,200美金，人人可手搓QwQ，清华、蚂蚁开源极速RL框架AReaL-boba,清华与蚂蚁联合发布开源强化学习框架AReaL-boba,蚂蚁技术研究院与清华大学联合发布了AReaL-boba，这是一个高效且稳定的开源强化学习训练框架，旨在降低大语言模型的训练门槛。该框架通过创新的数据蒸馏技术，仅使用200条数据便能以低成本实现强大的推理训练效果。AReaL-boba显著提升了训练速度，并开源了所有相关数据和训练脚本，确保可复现性，推动强化学习技术的普及。,LLM,"THU, Alibaba",None,https://mp.weixin.qq.com/s/Cx8QHv2TVl-0mIJzKT7BDA
机器之心,2025-03-31 10:22:04,ICLR 2025 | 真正「Deep」的「Research」，通过强化学习实现可自主进化的科研智能体来了！,CycleResearcher: A Reinforcement Learning-Based Autonomous Research Agent,"CycleResearcher, developed by a research team from Westlake University and UCL, represents a significant advancement in automated scientific research. This end-to-end trainable agent utilizes reinforcement learning to optimize the research process, covering literature review, hypothesis generation, experimental design, and paper writing. The team has released two large datasets and demonstrated that CycleResearcher can produce high-quality papers with a notable acceptance rate. This innovative approach aims to address the challenges of self-improving AI in the research domain.",Agent,Other,"张岳, 杨林易, Will MacAskill",https://mp.weixin.qq.com/s/-n3bo-mNklCIVFZV6splmw
新智元,2025-03-31 17:22:28,OpenAI惊人内幕曝光！赶走奥特曼的PDF，是Ilya发的,OpenAI内部权力斗争及其影响,本文探讨了OpenAI内部的权力斗争，特别是Ilya Sutskever与Sam Altman之间的冲突。WSJ记者Keach Hagey的新书揭示了奥特曼在董事会中的谎言，以及Ilya和Murati如何联合起来挑战他的领导。事件的复杂性和人性在这一过程中展现得淋漓尽致，最终导致了董事会成员的变动和奥特曼的继续掌权。文章分析了这一事件对OpenAI未来的潜在影响。,Other,OpenAI,"Sam Altman, Ilya Sutskever, Mira Murati",https://mp.weixin.qq.com/s/dKMjOhg0jnx7G5MudKvs-A
量子位,2025-03-31 16:07:35,摸DeepSeek过河也得自身硬! 想开后的文小言，真香！,百度文小言升级：多模态模型融合与新功能介绍,百度文小言近期进行了全面升级，新增了多种功能，包括全新的大语音模型和图片问答能力。用户可以在一个页面上自由切换使用DeepSeek和文心X1/4.5模型，提升了多模态交互和理解能力。文小言的自动模式能够根据用户需求智能选择最合适的模型，并支持复杂问题的推理和图表生成。这些升级使得文小言在逻辑推理和多模态分析方面表现更为出色。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/lOrYfWN-WxsHBlQK_f39FQ
量子位,2025-03-31 16:07:35,奥赛级AI基准来了：难倒所有模型，GPT-4o仅考34分，上海交大出品,OlympicArena: A New Benchmark for Evaluating AI Models' Multidisciplinary Cognitive Abilities,"The Shanghai Jiao Tong University GAIR Lab has introduced OlympicArena, a challenging benchmark designed to evaluate AI systems' problem-solving capabilities across multiple disciplines. With GPT-4o scoring only 34.01% accuracy and other models below 20%, this benchmark highlights the rigorous difficulty of the tests. OlympicArena encompasses seven fields, including mathematics and physics, with over 11,000 bilingual questions sourced from prestigious competitions. The benchmark aims to push the boundaries of AI capabilities and emphasizes the need for models to develop comprehensive reasoning skills akin to those of Olympic competitors.",AGI,Other,None,https://mp.weixin.qq.com/s/bhm84ToAsFc1GrjWbqJMYg
新智元,2025-03-31 15:19:02,盖茨预警：AI解放人类速度惊人！医生和教师最先被取代，一周只要2天上班,比尔·盖茨预测AI将大幅减少人类工作时间,比尔·盖茨在最近的访谈中预测，未来十年内，AI技术的发展将使人类每周工作时间减少到两天，尤其是医生和教师等职业面临被取代的风险。他认为，AI将使得许多工作变得不再必要，并可能带来社会的巨大变革。尽管一些专家对此持不同看法，盖茨仍对AI的潜力持乐观态度，认为它将推动经济增长并创造新机会。与此同时，他指出，软件开发者、生物学家和能源专家等职业将可能幸存于这场变革中。,Other,"Microsoft, OpenAI","比尔·盖茨, Mustafa Suleyman, Tom Blomfield",https://mp.weixin.qq.com/s/MROhkSgxGRUW8Wp8p0x3kA
新智元,2025-03-31 15:19:02,Midjourney V7内测图首曝，电影级画质干翻GPT-4o！人物蜡像感消失，AI生图迎最强地震,Midjourney V7内测图发布，AI生图技术再创新高,新智元报道，Midjourney即将推出全新V7版本，内部模型已完成训练并进入最后微调阶段。V7在画质和细节表现上有显著提升，尤其在人物生成方面，蜡像感明显减少，真实感增强。用户参与评分系统，帮助模型学习优劣图像。尽管GPT-4o在市场上引起热议，Alain Astruc认为Midjourney仍具独特魅力，无法被取代。V7的发布或将重新定义AI生图领域的竞争格局。,Diffusion Model,Other,Alain Astruc,https://mp.weixin.qq.com/s/SMcpwY6RuGWVykeD5AwriQ
机器之心,2025-03-31 12:52:58,正在和DeepSeek-V3-0324做个大项目，「氛围编程」简直太疯狂了,氛围编程：基于自然语言生成代码的创新应用,机器之心报道了由AI专家Andrej Karpathy提出的氛围编程（Vibe coding）概念，用户通过自然语言描述即可生成代码。Hugging Face的DeepSite应用利用最新的DeepSeek-V3-0324模型，允许用户快速创建应用程序和游戏。文章展示了该应用的实际效果，包括生成网络版乒乓游戏和3D飞行模拟游戏的过程，强调了开源的优势和用户体验的便捷性。,LLM,Other,"Andrej Karpathy, Thomas Wolf",https://mp.weixin.qq.com/s/0QQ1i68cVVguiPOnPtFhXQ
机器之心,2025-03-31 12:52:58,清华朱军团队 | 从点云到高保真三维网格：DeepMesh突破自回归生成瓶颈,DeepMesh: A Novel Auto-Regressive Framework for High-Fidelity 3D Mesh Generation from Point Clouds,清华大学朱军团队提出了DeepMesh方法，旨在解决传统三维网格生成中的自回归生成瓶颈。该方法通过自回归Transformer架构，从输入点云生成高达3万个面片的高质量三维网格，显著提升了生成效率与拓扑结构的合理性。DeepMesh引入了直接偏好优化的强化学习框架，结合几何质量与人类评价，优化了生成结果的几何完整性与视觉美观性，展现出在数字内容创作领域的颠覆性潜力。,Other,THU,None,https://mp.weixin.qq.com/s/2POAJh_kbS_Nb_hOcNAE6Q
机器之心,2025-03-31 12:52:58,第一个免费可用的智能Agent产品全量上线，中国公司智谱打造，推理模型比肩R1,智谱推出首个免费智能Agent产品AutoGLM沉思,智谱公司于2025年3月31日正式发布了其自主智能体产品AutoGLM沉思，该产品具备深度研究和操作能力，能够自动查询和总结信息，生成面向大众的内容。与OpenAI的产品相比，AutoGLM沉思在推理模型和多模态理解能力上表现出色，且免费开放给用户。该产品标志着智能Agent技术的重大进步，推动了国产AI的发展。,Agent,Other,None,https://mp.weixin.qq.com/s/UmpgGscXcZGgk90PlycKfg
