公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-03-24 08:43:16,CVPR 2025满分论文：开源三维生成框架Craftsman3D&Dora革新三维资产生成与编辑,开源三维生成框架Craftsman3D&Dora在CVPR 2025的应用与创新,香港科技大学谭平教授团队在CVPR 2025上发布了两项三维生成技术框架Craftsman3D与Dora，均为开源项目，旨在降低三维内容创建的门槛。Craftsman3D获得满分评价，并被多家知名企业引用，Dora则通过显著边缘采样算法提升了三维变分自编码器的重建质量。该研究为游戏、影视和AR/VR等领域的三维资产生成与编辑提供了新的解决方案。,Diffusion Model,"ByteDance, Tencent","谭平, 李威宇, 刘嘉瑞, 阎鸿禹, 陈锐",https://mp.weixin.qq.com/s/pLxLZZhKy18MySYP1yJLKw
新智元,2025-03-24 11:06:02,刚刚，谷歌AI智能体首次上线手机，Gemini看懂屏幕实时交流！,谷歌Gemini推出实时屏幕共享与视频互动功能,谷歌的Gemini AI助手近日上线了实时屏幕共享和视频互动功能，用户可以通过手机摄像头与Gemini进行实时交流。这一新功能使Gemini能够识别屏幕内容并与用户互动，标志着谷歌在AI助手领域的进一步领先。Gemini的实时视频功能允许用户与周围环境直接互动，展示了谷歌在多模态AI助手方面的技术进步。此功能是谷歌长期计划「Project Astra」的一部分，旨在实现更智能的AI助手。,Multimodal LLM,Google,Demis Hassabis,https://mp.weixin.qq.com/s/wfHVXBGq7NEyp9ftlsKtrA
机器之心,2025-03-24 12:34:45,为什么明明很准，奖励模型就是不work？新研究：准确度 is not all you need,奖励模型的准确度不足以确保有效优化,普林斯顿大学的研究团队探讨了奖励模型（RM）在强化学习中的作用，指出仅依赖准确度来评估RM的质量可能导致优化效率低下。研究表明，低奖励方差会减缓优化过程，即使RM的准确度很高。因此，设计有效的奖励模型需要考虑诱导足够的奖励方差，以确保优化的高效性。这一发现对强化学习与人类学习机制的相似性提供了新的视角，并引发了研究者的广泛关注。,LLM,Other,Rajan Vivek,https://mp.weixin.qq.com/s/mNE_S1qpx5-HOLZGpWPXrQ
机器之心,2025-03-24 12:34:45,腾讯混元、英伟达都发混合架构模型，Mamba-Transformer要崛起吗？,腾讯与英伟达推出混合架构模型，Mamba-Transformer的崛起前景,本文探讨了腾讯和英伟达在混合架构模型方面的最新进展，特别是Mamba-Transformer的融合架构。腾讯的混元T1模型和英伟达的Nemotron-H系列模型均展示了在计算复杂度和推理速度上的显著提升。Mamba-Transformer架构结合了Mamba和传统Transformer的优势，能够高效处理长序列数据，降低训练和推理成本。文章还提到滑铁卢大学的陈文虎教授对Mamba-Transformer模型的盘点，强调了该架构在AI领域的潜在价值。,LLM,Tencent,Wenhu Chen,https://mp.weixin.qq.com/s/KWCE3mxZeWchpDM9YmxpnQ
机器之心,2025-03-24 12:34:45,刚刚，谷歌Gemini Live上新功能，能看懂手机屏幕、还能实时视频,谷歌Gemini Live推出新功能：手机屏幕共享与实时视频交互,谷歌在MWC上宣布其Gemini Live集成了新AI功能，用户可以通过手机共享屏幕或使用摄像头进行实时视频交互。这些功能是谷歌Project Astra项目的一部分，旨在提升人工智能助手的交互能力。用户可以实时提问，Gemini能够迅速回答相关问题，显示出低延迟和多语言支持的优势。这一进展标志着谷歌在人工智能助手领域的竞争力，尤其是在与苹果Siri的对比中。,Multimodal LLM,Google,Alex Joseph,https://mp.weixin.qq.com/s/Z0pHFSAci8SGC_LS1ZUO-Q
机器之心,2025-03-24 12:34:45,CVPR 2025 | Qwen让AI「看见」三维世界，SeeGround实现零样本开放词汇3D视觉定位,SeeGround: A Zero-Shot Framework for 3D Visual Grounding Using 2D Visual Language Models,本文介绍了SeeGround，一个全新的零样本3D视觉定位框架，旨在通过2D视觉语言模型实现3D物体定位。该方法无需3D训练数据，利用动态视角选择和视觉提示增强技术，提升了模型在复杂环境下的准确性和泛化能力。SeeGround的创新之处在于将3D场景转换为2D可处理形式，从而有效解决了传统3D视觉定位方法的局限性。该研究由香港科技大学（广州）、新加坡A*STAR研究院和新加坡国立大学的团队完成，并已被CVPR 2025接收。,Other,Other,None,https://mp.weixin.qq.com/s/LakS8zqiA5XunmEQykKCDw
新智元,2025-03-24 12:26:04,给语音模型戴上「眼镜」，错误率降低12.5%！人大CMU最新开源 | AAAI 2025,BPO-AVASR: 结合视觉信息提升语音识别准确性,中国人民大学与卡耐基梅隆大学的研究团队在AAAI 2025会议上发布了BPO-AVASR模型，结合音频与视频信息以提升语音识别的准确性。该模型通过双焦点偏好优化方法，解决了传统语音识别在噪声、口语化表达及同音词混淆等问题。实验结果显示，BPO-AVASR在多个基准数据集上表现出色，尤其在复杂视频场景下，错误率降低了12.5%。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/DeYADmQllWsj42eZrcdzvw
新智元,2025-03-24 12:26:04,Manus爆火的秘密武器Browser Use融资1700万美元！让AI「读懂」网页,Browser Use融资1700万美元，推动AI智能体网页理解能力,Browser Use公司近日成功融资1700万美元，致力于提升AI智能体对网页的理解能力。该工具通过将网页元素转化为易于理解的格式，使智能体能够自动执行复杂的网页任务。创始人Magnus Müller和Gregor Zunic希望借此技术推动AI在自动化任务中的应用。Browser Use已在GitHub开源，并吸引了众多开发者的关注，成为AI智能体领域的重要基础技术。,Agent,Other,"Astasia Myers, Paul Graham, Magnus Müller, Gregor Zunic",https://mp.weixin.qq.com/s/g7GLU3QZESMMUWL6AyqsEg
新智元,2025-03-24 12:26:04,氛围编程师崛起！年薪87万一天15小时，Karpathy用400行AI代码点燃硅谷,氛围编程的兴起：Karpathy与AI的协作开发新模式,本文探讨了氛围编程（Vibe Coding）的兴起，特别是Karpathy如何在没有Swift编程经验的情况下，通过与ChatGPT的对话，仅用400行代码成功开发出一款iOS应用。文章详细描述了Karpathy与AI的互动过程，以及氛围编程如何吸引了众多开发者参与，推动了新的编程模式和职业机会的出现。尽管AI提高了生产力，开发者们仍需投入大量时间进行工作，反映出当前技术应用的复杂性和挑战。,LLM,Other,Andrej Karpathy,https://mp.weixin.qq.com/s/zCoTRVboSrCZfLt4f22qLg
量子位,2025-03-24 11:43:07,苹果新表被曝加摄像头，让AI有空间感知能力，中国小天才笑而不语,苹果计划在耳机和手表上加装摄像头以增强AI环境感知能力,苹果公司计划在其AirPods和Apple Watch中加装摄像头，以提升人工智能的环境感知能力。彭博社的爆料指出，手表的摄像头将可能被集成在屏幕下方或侧边，尽管用户对这一计划表示质疑。与此同时，苹果在AI发展方面的进展缓慢，导致内部高管变动。与之形成对比的是，谷歌在AI功能方面的持续推进。文章还提及了苹果即将推出的iPhone 17的新消息。,Other,Other,"Mark Gurman, Tim Cook, John Giannandrea, Mike Rockwell",https://mp.weixin.qq.com/s/nq0UUbaS9vxsKr7ZIet1bQ
量子位,2025-03-24 11:43:07,最后1天！今年最值得关注的AIGC企业/产品正在评选中,2025年度AIGC企业与产品评选启动,量子位宣布启动2025年值得关注的AIGC企业与产品评选，旨在发掘具有潜力和创新性的AI公司与产品。评选将依据企业的技术实力、市场表现及团队潜力等维度进行，报名截止日期为2025年3月24日。评选结果将在4月的中国AIGC产业峰会上公布，届时将邀请多位行业领军人物分享AI应用的最新趋势与见解。,Other,Other,"袁佛玉, 关玮雅, 吴欣鸿, 徐元春, 林咏华, 卢志武",https://mp.weixin.qq.com/s/lzOgK3j1jpkuJTuOCOr6JQ
机器之心,2025-03-24 16:03:06,小米汽车首曝自动驾驶研究：相机和LiDAR联合重建框架Uni-Gaussians,小米汽车自动驾驶研究：相机与LiDAR联合重建框架Uni-Gaussians,本研究提出了一种名为Uni-Gaussians的框架，旨在解决动态驾驶场景中相机与LiDAR数据的联合仿真问题。通过高斯基元的统一表征和分治渲染，该框架实现了高质量的仿真效果，显著提高了计算效率。研究团队来自香港科技大学、小米汽车和华中科技大学，实验结果表明，Uni-Gaussians在点云和图像的仿真性能上均优于现有主流方法，为自动驾驶技术的安全验证提供了重要支持。,Other,Other,"袁子康, 蒲粤川, 罗鸿城, 孙海洋, 杨欣",https://mp.weixin.qq.com/s/0ioYajWGIuFO_PUMzt90tQ
机器之心,2025-03-24 16:03:06,统一细粒度感知！北大&阿里提出UFO：无需SAM，16个token让MLLM实现精准分割,UFO: A Unified Approach to Fine-grained Visual Perception via Open-ended Language Interface,本文介绍了北京大学与阿里通义万相实验室联合提出的多模态大模型UFO，该模型通过特征检索实现精准的图像分割，无需额外的解码器如SAM或Grounding DINO。UFO通过计算token特征与图像特征的相似度，最多只需输出16个token即可完成分割任务。研究表明，该模型在多个数据集上表现优异，显著提升了细粒度感知的性能，简化了任务结构并加速了推理过程。,Multimodal LLM,"PKU, Alibaba","汤昊, 王立威",https://mp.weixin.qq.com/s/nF-hU0pdBgby6OsVam2d2w
新智元,2025-03-24 15:26:21,AI引爆全美失业潮，12个月内接管所有代码！3亿岗位被取代，70%职业大换血,AI对美国就业市场的潜在影响与未来展望,新智元报道指出，AI技术在软件开发等领域的应用将对美国就业市场产生深远影响。调查显示，AI可能在未来几年内取代3亿个岗位，导致70%的职业技能发生变化。尽管目前AI导致的裁员数量较少，但专家警告称，随着技术的普及和经济压力的加剧，未来可能会出现大规模失业。文章探讨了AI对就业的逐步影响及其可能的突发性变化。,Other,Other,"Rita McGrath, Dario Amodei, Malcolm Gladwell",https://mp.weixin.qq.com/s/cZj9XDagNJB3ORri0SjFcg
量子位,2025-03-24 15:22:32,用百度秒哒开发应用，会说比会写重要,百度秒哒：无代码应用开发平台的创新与应用,本文介绍了百度全新上线的对话式应用开发平台——秒哒，强调其无需编写代码即可快速生成应用的能力。用户只需通过自然语言描述需求，秒哒便能在几分钟内完成复杂应用的开发，包括网站和小游戏等。文章还探讨了秒哒的核心技术，包括无代码生成、多智能体协作和多工具调用，展示了其在降低开发门槛和提高效率方面的潜力。,Agent,Other,李彦宏,https://mp.weixin.qq.com/s/DuY7t4Gn9gEprxP4fjHKkg
