标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
CoLLM: A Large Language Model for Composed Image Retrieval,CoLLM：用于组合图像检索的大型语言模型,25 Mar 2025,Multimodal LLM,Amazon,https://arxiv.org/pdf/2503.19910,https://www.arxiv.org/abs/2503.19910,https://www.alphaxiv.org/abs/2503.19910,论文《CoLLM: A Large Language Model for Composed Image Retrieval》提出了一种新框架CoLLM，旨在解决组合图像检索（CIR）中的数据稀缺问题。传统CIR依赖于昂贵的三元组数据（参考图像、修改文本和目标图像），而CoLLM通过实时生成三元组，利用大语言模型（LLMs）实现更深层次的多模态融合。论文还引入了一个大规模数据集Multi-Text CIR（MTCIR），包含340万样本，并改进了现有CIR基准，以提高评估的可靠性。实验结果表明，CoLLM在多个基准测试中表现出色，显著提升了检索性能，推动了CIR领域的发展。,158
"Exploring Hallucination of Large Multimodal Models in Video Understanding: Benchmark, Analysis and Mitigation",探索大规模多模态模型在视频理解中的幻觉：基准、分析与缓解,25 Mar 2025,Multimodal LLM,Other,https://arxiv.org/pdf/2503.19622,https://www.arxiv.org/abs/2503.19622,https://www.alphaxiv.org/abs/2503.19622,本论文探讨了大型多模态模型（LMMs）在视频理解中的幻觉现象，即模型提供看似正确但实际上错误的回答。为此，作者提出了一个名为HAVEN的综合基准，旨在评估LMMs在视频任务中的幻觉表现，涵盖幻觉原因、方面和问题格式。研究还定量分析了影响幻觉的七个因素，并提出了一种视频思维模型，通过监督推理微调（SRFT）和直接偏好优化（TDPO）来减轻幻觉问题。实验结果显示，该方法在幻觉评估准确率上提高了7.65%，并减少了4.5%的偏差分数，证明了其有效性。,76
CausalRAG: Integrating Causal Graphs into Retrieval-Augmented Generation,CausalRAG：将因果图融入检索增强生成,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19878,https://www.arxiv.org/abs/2503.19878,https://www.alphaxiv.org/abs/2503.19878,本文介绍了CausalRAG，一个将因果图融入检索增强生成（RAG）框架的新方法，以提高大型语言模型在知识密集型任务中的表现。CausalRAG通过构建因果关系图来解决传统RAG系统面临的文本切块导致的上下文完整性破坏、过度依赖语义相似性检索等问题，从而提升检索精度和生成响应的准确性。实验结果表明，CausalRAG在回答忠实度、上下文回忆和上下文精度等多个指标上优于常规RAG和图基RAG，展示了因果推理在知识检索中的潜力。,72
Scaling Vision Pre-Training to 4K Resolution,将视觉预训练扩展到4K分辨率,25 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.19903,https://www.arxiv.org/abs/2503.19903,https://www.alphaxiv.org/abs/2503.19903,本论文提出了一种名为PS3的高效视觉预训练方法，能够将CLIP风格的视觉预训练扩展到4K分辨率，同时保持接近恒定的计算成本。PS3通过选择性处理局部区域并与局部详细描述进行对比，从而实现高分辨率表示学习。基于PS3预训练的多模态大型语言模型VILA-HD在高分辨率视觉感知方面显著优于现有基线，且在新提出的4KPro基准测试中表现出色，提升了14.5%相较于GPT-4o的性能，且计算效率更高。这项研究为高分辨率视觉理解奠定了基础，推动了多模态模型的发展。,59
AvatarArtist: Open-Domain 4D Avatarization,AvatarArtist: 开放域4D虚拟形象化,25 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.19906,https://www.arxiv.org/abs/2503.19906,https://www.alphaxiv.org/abs/2503.19906,论文《AvatarArtist: Open-Domain 4D Avatarization》提出了一种新颖的4D头像生成方法，旨在从任意风格的肖像图像创建动态头像。该方法采用参数三维平面作为中间表示，并结合生成对抗网络（GAN）和扩散模型，克服了传统4D方法在处理多样化数据分布时的局限性。通过构建多领域的图像-4D表示数据集，AvatarArtist能够生成高质量的4D头像，具有较强的鲁棒性，适用于虚拟现实、社交媒体和在线教育等多种应用。该研究的代码和数据将公开，以促进后续研究的发展。,45
Think Twice: Enhancing LLM Reasoning by Scaling Multi-round Test-time Thinking,三思而后行：通过扩展多轮测试时思考来增强大语言模型推理,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19855,https://www.arxiv.org/abs/2503.19855,https://www.alphaxiv.org/abs/2503.19855,本论文提出了一种名为“多轮思考”的测试时间扩展策略，以增强大型语言模型（LLM）的推理能力。该方法通过迭代地利用先前答案作为后续轮次的提示，显著提高了模型在多个基准测试中的表现，如AIME 2024和MATH-500。实验结果显示，QwQ-32B和DeepSeek-R1模型的准确率在多轮推理中均有明显提升，分别从80.3%提升至82.1%和从79.7%提升至82.0%。这一方法不仅简单有效，还展示了在测试时间扩展技术中的广泛适用性，突显了其在未来研究中的潜力。,43
Long-Context Autoregressive Video Modeling with Next-Frame Prediction,基于下一个帧预测的长上下文自回归视频建模,25 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.19325,https://www.arxiv.org/abs/2503.19325,https://www.alphaxiv.org/abs/2503.19325,本论文提出了一种新的视频自回归建模方法——Frame AutoRegressive (FAR)，旨在提升视频生成的性能。FAR通过建模连续帧之间的因果依赖关系，克服了传统视频建模中存在的视觉冗余问题。为了解决长时间序列训练的计算成本，本文引入了FlexRoPE和长短期上下文建模技术，这些方法能够有效平衡局部和远程依赖关系。实验表明，FAR在短视频和长视频生成任务中均表现出色，成为视频自回归建模的强基线，推动了视频生成领域的进步。,40
ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,ReSearch：通过强化学习学习与搜索结合的推理方法,25 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.19470,https://www.arxiv.org/abs/2503.19470,https://www.alphaxiv.org/abs/2503.19470,本论文提出了ReSearch框架，旨在通过强化学习训练大型语言模型（LLMs）在推理过程中有效地结合外部搜索。与传统方法不同，ReSearch不依赖于监督数据，而是将搜索操作视为推理链的重要组成部分，允许模型在推理过程中动态决定何时和如何进行搜索。实验显示，ReSearch在多个基准测试中表现出强大的泛化能力，并能够自然引发高级推理能力，如反思和自我修正。这一方法为解决复杂多步骤问题提供了新的思路，推动了LLMs在现实应用中的性能提升。,40
ImageGen-CoT: Enhancing Text-to-Image In-context Learning with Chain-of-Thought Reasoning,ImageGen-CoT：通过链式思维推理增强文本到图像的上下文学习,25 Mar 2025,Multimodal LLM,Microsoft,https://arxiv.org/pdf/2503.19312,https://www.arxiv.org/abs/2503.19312,https://www.alphaxiv.org/abs/2503.19312,本文提出了一种新颖的框架ImageGen-CoT，以增强文本到图像的上下文学习能力。通过引入链式思维（CoT）推理过程，模型在生成图像之前进行结构化的思考，从而更好地理解多模态上下文。研究表明，传统的多模态大语言模型在处理文本和图像的关系时存在困难，而ImageGen-CoT通过自动化数据集构建和细化过程显著提高了模型的推理能力。实验结果显示，使用该方法对SEED-X模型进行微调后，在文本到图像任务中性能提升了80%。该研究为提升多模态生成模型的表现提供了新的思路。,38
FullDiT: Multi-Task Video Generative Foundation Model with Full Attention,FullDiT：具有全注意力的多任务视频生成基础模型,25 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.19907,https://www.arxiv.org/abs/2503.19907,https://www.alphaxiv.org/abs/2503.19907,本文提出了FullDiT，一个多任务视频生成基础模型，利用统一的全注意力机制来整合多种条件信号。与传统的基于适配器的方法不同，FullDiT通过将多种输入条件融合为统一的序列表示，实现了高效的跨模态学习，解决了条件冲突和参数冗余的问题。实验表明，FullDiT在复杂多任务视频生成中表现出色，具有更高的生成质量和可扩展性，为创意产业提供了更精细的控制能力。该模型的引入为视频生成领域的研究提供了新的视角和方法。,37
