公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-03-26 09:27:42,GPT-4o图像生成今起免费！奥特曼坐镇紧急发布，指令遵循/文本控制表现惊艳,OpenAI发布GPT-4o图像生成能力，免费用户可体验,OpenAI于2025年3月26日正式开放GPT-4o的图像生成能力，所有用户均可免费体验。新模型在文本处理和图像生成方面表现出色，能够精确还原文字内容并控制其位置。用户可以通过ChatGPT和Sora进行多轮交互，生成高质量的图像。此次发布还展示了多种应用场景，包括制作梗图和动漫风格转换。OpenAI的这一更新标志着多模态模型的重要进展。,Multimodal LLM,OpenAI,None,https://mp.weixin.qq.com/s/lOtbwZJAozGJAg1GuumGfw
量子位,2025-03-26 09:27:42,Stable Diffusion变身3D神器！一个LoRA将2D图像转3D模型,Kiss3DGen: A Novel Approach to 3D Model Generation from 2D Images Using LoRA in Stable Diffusion,"Kiss3DGen, developed by a collaboration between Hong Kong University of Science and Technology (Guangzhou) and Quwan Technology, introduces a groundbreaking method for generating 3D models from 2D images using a LoRA integrated with Stable Diffusion. This innovative model aligns 3D generation with existing 2D image generation frameworks, allowing for high-quality 3D asset creation without extensive training data. The process involves generating a 3D Bundle Image from multi-view images and normal maps, transforming traditional 3D generation into a 2D image generation task, thus leveraging the strengths of established 2D models.",Diffusion Model,Other,陈颖聪,https://mp.weixin.qq.com/s/BlvihFcMCCuGN3FGhvFS7w
量子位,2025-03-26 08:17:13,招聘｜量子位智库AI分析师,量子位智库招聘AI分析师,量子位智库正在招聘AI分析师和助理分析师，聚焦于AIGC（生成式人工智能内容）领域的产业研究与数据分析。分析师将负责撰写深度产业报告，跟踪产学研进展，并组织相关研讨会。助理分析师则需收集和分析AI产品的数据，支持团队的数据库更新和内容发布。招聘面向有相关背景的求职者，工作地点为北京中关村。,Other,Other,None,https://mp.weixin.qq.com/s/4O1Uu1Ebrtg8s9IFm-7JIg
量子位,2025-03-26 08:17:13,DeepSeek逼出谷歌新推理模型：40分优势超GPT4.5登顶竞技场，支持原生多模态，但依然败给了“竹竿问题”,谷歌Gemini 2.5推理模型的性能分析,谷歌最新推出的Gemini 2.5 Pro模型在大模型竞技场中表现优异，超越GPT-4.5，显示出强大的推理和编程能力。该模型支持原生多模态处理，能够处理文本、音频、图像和视频等多种数据类型。然而，在面对复杂的“竹竿问题”时，Gemini 2.5 Pro未能成功解决，显示出其在某些任务上的局限性。该模型现已向付费用户开放，并将在未来几周内在Vertex AI上推出。,Multimodal LLM,"Google, DeepMind",Jeff Dean,https://mp.weixin.qq.com/s/U75bF7gQ6wlQlaflQvrIQQ
机器之心,2025-03-26 07:43:38,刚刚，GPT-4o原生图像生成上线，P图、生图也就一嘴的事,GPT-4o原生图像生成技术上线,本文介绍了GPT-4o的最新功能，特别是其原生图像生成能力的上线。该技术使得用户能够轻松地进行图像编辑和生成，标志着多模态AI技术的进一步发展。文章探讨了这一功能的潜在应用和影响，尤其是在图像处理和创意领域的应用前景。,Multimodal LLM,OpenAI,None,https://mp.weixin.qq.com/s/K0A5aWKq-GraauEyx0ixkA
新智元,2025-03-26 05:52:47,OpenAI直播狙击谷歌，奥特曼AGI梗图现场直出！GPT-4o超强原生生图来袭,OpenAI发布GPT-4o，图像生成能力显著提升,OpenAI在最新直播中推出了GPT-4o，显著提升了其原生图像生成能力。新模型展示了多种功能，包括自拍转动漫风格、相对论漫画生成等，强调其全模态能力。与谷歌的Gemini 2.5 Pro相比，OpenAI的更新虽有亮点，但仍显不足。GPT-4o能够理解复杂提示并生成高质量图像，标志着多模态AI的进一步发展，旨在提高用户在视觉交流中的效率。,Multimodal LLM,OpenAI,None,https://mp.weixin.qq.com/s/2z_QnaXCME2XR7AxXF6wYA
新智元,2025-03-26 03:06:50,谷歌地表最强模型深夜来袭！Gemini 2.5 Pro发布即屠榜，代码推理杀疯了,谷歌发布Gemini 2.5 Pro模型，推理能力显著提升,谷歌最新发布的Gemini 2.5 Pro模型在多个基准测试中表现卓越，成为当前最强大的AI模型。该模型专为复杂任务设计，具备强大的推理能力，能够在回应前进行思考，从而提升性能和准确性。Gemini 2.5 Pro在多个领域如数学、创意写作和编程等达到了SOTA水平，并在视觉和网页开发领域也表现出色。谷歌表示，该模型的推理能力超越了以往的版本，展现出巨大的飞跃。,Multimodal LLM,Google,None,https://mp.weixin.qq.com/s/20PiTyIXYmdEE8joQtWNYQ
新智元,2025-03-26 03:06:50,暴击GPT-4.5，DeepSeek-V3-0324官方报告出炉！系统提示、最佳温度全放出,DeepSeek-V3-0324模型发布报告,新智元报道，DeepSeek-V3-0324模型以660B参数在数学和编程性能上超越了GPT-4.5和Claude 3.7，推理能力提升近20%。该模型现已全面开源，用户可通过官网、APP或小程序体验。新版本在中长篇文本创作、代码生成和报告分析等多个任务上表现出色，尤其在中文能力方面有显著提升。官方建议在非复杂推理任务中使用新版本，以优化用户体验。,LLM,Other,None,https://mp.weixin.qq.com/s/-4MLk3NE-aJ0WKCObA7N5g
机器之心,2025-03-26 11:31:40,视频生成的测试时Scaling时刻！清华开源Video-T1，无需重新训练让性能飙升,清华大学开源Video-T1：视频生成中的测试时Scaling方法,本文介绍了清华大学和腾讯的研究团队提出的Video-T1项目，该项目首次将测试时Scaling应用于视频生成领域。研究团队通过引入Tree-of-Frames方法，显著提升了视频生成的性能，降低了对计算资源的需求。该方法通过动态平衡计算成本与生成质量，优化了视频生成过程，并在VBench上取得了显著的性能提升。相关代码已开源，欢迎社区共同探索。,Other,"THU, Tencent",None,https://mp.weixin.qq.com/s/HtJHXGgTAhi-uBWSsgqOKQ
机器之心,2025-03-26 11:31:40,300年后牛顿法得到改进，修改泰勒展开式，收敛速度更快,牛顿法的改进及其在复杂函数优化中的应用,本文介绍了牛顿法的历史及其在寻找函数最小值中的重要性。尽管牛顿法在处理复杂函数时展现出优越的收敛速度，但其适用性有限。近期，来自普林斯顿大学、佐治亚理工学院和耶鲁大学的研究人员对牛顿法进行了改进，扩展了其应用范围，使其能够高效处理更广泛的函数类别。这一进展为现代优化理论的发展提供了新的思路。,Other,Other,"Amir Ali Ahmadi, Abraar Chaudhry, Jeffrey Zhang",https://mp.weixin.qq.com/s/G8vS3zDL7j95EnmxrL4cGw
