标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"φ-Decoding: Adaptive Foresight Sampling for Balanced Inference-Time
  Exploration and Exploitation",φ-解码：平衡推理时间探索与利用的自适应前瞻采样,LLM,"Shanghai AI Lab, PKU",https://arxiv.org/pdf/2503.13288,https://huggingface.co/papers/2503.13288,论文提出了一种新颖的解码策略——φ-Decoding，旨在优化推理过程中的探索与利用平衡。通过模拟未来步骤，φ-Decoding能够提供更精准的步骤价值估计，从而选择最佳的推理步骤。该方法结合了前瞻采样和聚类技术，并引入了宽度和深度剪枝策略，以提高推理效率。实验结果表明，φ-Decoding在七个基准测试中表现优于现有的强基线，展现了其在多种大型语言模型中的广泛适用性和良好的可扩展性。这项研究为推理时间优化提供了有效的解决方案。,36
"DeepMesh: Auto-Regressive Artist-mesh Creation with Reinforcement
  Learning",DeepMesh：基于强化学习的自回归艺术家网格创建,Other,THU,https://arxiv.org/pdf/2503.15265,https://huggingface.co/papers/2503.15265,本文提出了DeepMesh，一种通过强化学习优化3D三角网格生成的框架。DeepMesh解决了现有自回归方法在面数限制和网格不完整性方面的挑战，采用了一种高效的预训练策略和新颖的标记算法。通过引入直接偏好优化（DPO），DeepMesh实现了与人类偏好的对齐，确保生成的网格在视觉吸引力和几何准确性上均表现优异。基于点云和图像的条件，DeepMesh能够生成细节丰富、拓扑精确的网格，超越了当前最先进的方法。,29
TULIP: Towards Unified Language-Image Pretraining,TULIP：迈向统一的语言-图像预训练,Multimodal LLM,Other,https://arxiv.org/pdf/2503.15485,https://huggingface.co/papers/2503.15485,本文介绍了TULIP，一种新的统一语言-图像预训练模型，旨在克服现有图像-文本对比模型（如CLIP和SigLIP）在高保真图像理解任务中的局限性。TULIP通过生成数据增强、增强的图像-图像和文本-文本对比学习，以及图像/文本重建正则化，能够有效学习细粒度的视觉特征，同时保持全局语义对齐。该模型规模超过10亿参数，在多个基准测试中表现优异，特别是在ImageNet-1K上实现了新的零-shot性能，并在少量样本分类和视觉-语言模型中显著超越了现有的最先进模型。代码和检查点可在https://tulip-berkeley.github.io获取。,22
Cube: A Roblox View of 3D Intelligence,Cube: Roblox对3D智能的视角,Multimodal LLM,Other,https://arxiv.org/pdf/2503.15475,https://huggingface.co/papers/2503.15475,本文介绍了Roblox团队开发的3D智能基础模型，旨在支持开发者创建丰富的Roblox体验，包括3D对象生成、角色动画和行为脚本编写。论文阐述了构建该模型的三个设计要求，并提出了3D形状标记化的解决方案，允许在文本与形状之间进行转换。研究展示了该标记化方案在文本到形状生成、形状到文本生成和场景生成等应用中的潜力，并探讨了如何与现有的大型语言模型协作进行场景分析和推理。最终，作者描绘了实现全面统一的3D智能基础模型的未来路径。,17
"Efficient Personalization of Quantized Diffusion Model without
  Backpropagation",无需反向传播的量化扩散模型的高效个性化,Diffusion Model,Other,https://arxiv.org/pdf/2503.14868,https://huggingface.co/papers/2503.14868,本论文提出了一种高效的个性化量化扩散模型的方法，旨在解决传统训练和微调过程中高内存需求的问题。通过应用文本反演和零阶优化，作者避免了反向传播所需的梯度和激活存储，从而显著降低了内存消耗。为了应对个性化过程中梯度估计的噪声，研究者引入了子空间梯度技术，以提高估计的准确性。此外，论文还探讨了文本嵌入对图像生成的影响，提出了部分均匀时间步采样策略。该方法在个性化稳定扩散模型时，性能与传统方法相当，同时将训练内存需求降低了多达8.2倍。,17
Temporal Regularization Makes Your Video Generator Stronger,时间正则化使您的视频生成器更强大,Other,Other,https://arxiv.org/pdf/2503.15417,https://huggingface.co/papers/2503.15417,本论文提出了一种名为FluxFlow的时间正则化策略，旨在提升视频生成的时间质量，确保帧间运动的一致性和真实感。研究首次探讨了时间增强在视频生成中的应用，通过在数据层面施加受控的时间扰动，而无需对模型架构进行修改。实验结果表明，FluxFlow显著改善了在UCF-101和VBench基准测试中多种视频生成模型（如U-Net、DiT和基于自回归的架构）的时间连贯性和多样性，同时保持了空间保真度。这一发现突显了时间增强作为一种简单有效的方法，能够推动视频生成质量的潜力。,17
AudioX: Diffusion Transformer for Anything-to-Audio Generation,AudioX: 用于任意音频生成的扩散变换器,Diffusion Model,Other,https://arxiv.org/pdf/2503.10522,https://huggingface.co/papers/2503.10522,论文提出了AudioX，一个统一的扩散变换器模型，旨在实现多种输入到音频和音乐的生成。与以往的领域特定模型不同，AudioX能够高质量生成一般音频和音乐，并提供灵活的自然语言控制，支持文本、视频、图像等多种模态的无缝处理。其创新之处在于采用多模态掩蔽训练策略，增强模型的跨模态表示能力。为解决数据稀缺问题，研究团队还构建了两个大规模数据集。实验结果表明，AudioX在多项基准测试中表现优异，展现出出色的多样性和灵活性。,11
STEVE: AStep Verification Pipeline for Computer-use Agent Training,STEVE：计算机使用智能体训练的步骤验证管道,Agent,Other,https://arxiv.org/pdf/2503.12532,https://huggingface.co/papers/2503.12532,本文介绍了STEVE，一个用于计算机使用代理训练的步骤验证管道。为了提高训练效率，研究团队建立了一个大型指令集，并通过次优代理收集了轨迹数据。利用GPT-4o验证每个步骤的正确性并给予二元标签，最后通过Kahneman和Tversky优化方法对代理进行优化。实验表明，STEVE在利用正负动作的同时，显著优于传统的监督微调方法。此外，STEVE成功训练了一个7B的视觉语言模型，在复杂的实时桌面环境WinAgentArena中表现出色，展示了其高效性和成本效益。,11
"MetaLadder: Ascending Mathematical Solution Quality via
  Analogical-Problem Reasoning Transfer",MetaLadder：通过类比问题推理转移提升数学解题质量,LLM,"Shanghai AI Lab, THU",https://arxiv.org/pdf/2503.14891,https://huggingface.co/papers/2503.14891,本文提出了MetaLadder框架，旨在提升大型语言模型（LLMs）在数学推理任务中的解题准确性。与传统的链式思维（CoT）方法不同，MetaLadder通过引导模型回忆和反思结构或语义相似的“元问题”，结合其解决方案，以此增强对目标问题的理解。此外，论文还引入了问题重述机制，进一步提高了推理的准确性。实验结果显示，MetaLadder在数学基准测试中显著提高了LLMs的解题能力，准确率比标准CoT方法提升了10.3%。该研究为模拟人类的类比学习能力提供了新的视角。,10
"FlexWorld: Progressively Expanding 3D Scenes for Flexiable-View
  Synthesis",FlexWorld: 逐步扩展的3D场景用于灵活视图合成,Diffusion Model,"ByteDance, THU",https://arxiv.org/pdf/2503.13265,https://huggingface.co/papers/2503.13265,本文提出了FlexWorld，一个创新框架，用于从单张图像生成灵活视角的3D场景，包括360°旋转和缩放。FlexWorld由两个主要部分组成：一是强大的视频到视频（V2V）扩散模型，能够从粗糙场景中生成高质量的新视角图像；二是逐步扩展过程，用于构建完整的3D场景。通过利用先进的预训练视频模型和准确的深度估计，FlexWorld有效地生成新内容并与全局场景融合。实验结果表明，FlexWorld在多个指标和数据集上优于现有方法，能够生成高保真度的3D场景，展示了其在灵活视角合成中的潜力。,9
