公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-17 19:20:58,Rubin来了！英伟达下一代芯片即将登场，预计26年爆赚2370亿美金,英伟达下一代AI芯片Rubin即将发布，预计未来收入大幅增长,英伟达在GTC开发者大会上即将展示其下一代AI芯片Rubin，尽管当前Blackwell芯片刚开始大规模发货。分析师预测Rubin将带来显著的性能提升，并预计英伟达的数据中心业务在未来几年内收入将翻倍，达到2370亿美元。尽管面临竞争压力，英伟达在AI领域的投资和市场需求仍然强劲，未来的增长潜力巨大。,Other,Other,"黄仁勋, Ross Seymore, Atif Malik",https://mp.weixin.qq.com/s/Unns9ZOHBIQmSYfC9V2Rwg
新智元,2025-03-17 19:20:58,超70%代码基准没有质量保证！港科大最新「指南」全面调研10年274个评测集,香港科技大学发布代码评测集发展指南，揭示质量问题,香港科技大学及多所高校联合调研了过去十年间的274个代码评测集，发现超过70%的评测集缺乏质量保证，存在数据重复、测试用例错误及隐私信息泄露等问题。为提升评测集质量，他们发布了《代码评测集发展指南55项》（How2Bench），涵盖设计、构建、评测、分析和发布五大阶段，旨在规范评测集的开发流程，确保其可靠性与有效性。,Other,Other,None,https://mp.weixin.qq.com/s/noYYnJW3PHggxt0Wex-t-Q
新智元,2025-03-17 19:20:58,机器人安卓时刻！行业首个通用具身智能平台亮相，国家队全程真机直播,全球首个通用具身智能平台发布，标志具身智能新时代,新智元报道，具身智能机器人国家队发布了全球首个通用具身智能平台「慧思开物」，该平台通过统一架构解决了机器人开发中的碎片化问题，支持多本体和多场景应用。发布会现场展示了搭载该平台的机器人在多个任务中的出色表现，标志着具身智能从「功能机」迈向「智能机」时代，推动机器人在工业、商业服务等领域的广泛应用。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/GZ-OqChFRHIeNnw89MWQeg
机器之心,2025-03-17 17:32:20,想与顶级AI人才互动？来和机器之心一起共赴这4场全球学术顶会,2025年机器之心全球学术顶会活动概述,2025年，机器之心将举办四场全球顶级人工智能学术会议的相关活动，旨在促进学术交流与人才招聘。这些会议包括ICLR、CVPR、ACL和NeurIPS，活动内容涵盖论文分享、主题演讲和招聘宣讲等，旨在搭建产学研交流平台，助力企业吸引顶尖AI人才。机器之心希望通过这些活动，推动AI技术的应用落地和人才的交流合作。,Other,Other,None,https://mp.weixin.qq.com/s/Zs3RBEOWnQUxwqwKPVQodg
机器之心,2025-03-17 17:32:20,ICLR 2025 | 四川大学提出Test-time Adaptation新范式，突破查询偏移挑战,四川大学提出Test-time Adaptation新范式以应对查询偏移挑战,四川大学的XLearning团队在ICLR 2025上提出了一种新的Test-time Adaptation（TTA）方法，旨在解决跨模态检索中的查询偏移问题。该研究扩展了TTA的应用，提升了预训练模型在推理阶段的分布外泛化能力，尤其是在处理个性化查询时的表现。通过分析查询偏移对模态内和模态间关系的影响，研究团队建立了统一的基准，推动了推理计算在跨模态应用中的发展。,Multimodal LLM,Other,Ilya Sutskever,https://mp.weixin.qq.com/s/w3mp7j6_7ZIfcmNFAUJDRA
量子位,2025-03-17 17:27:48,最后1周！今年最值得关注的AIGC企业/产品正在评选中,2025年值得关注的AIGC企业与产品评选启动,量子位公众号发布了关于2025年值得关注的AIGC企业与产品评选的通知。评选将根据过去一年AIGC企业和产品的表现，结合对未来技术与场景的观察，评选出年度奖项。评选分为两类：值得关注的AIGC企业和产品，报名截止日期为2025年3月24日，最终结果将在4月的中国AIGC产业峰会上公布。此次峰会将邀请多位行业大佬分享对生成式AI的见解。,Other,Other,"袁佛玉, 关玮雅, 吴欣鸿, 徐元春, 林咏华, 卢志武",https://mp.weixin.qq.com/s/W6U0zkVolT_-3t6a3qBeSQ
新智元,2025-03-17 16:12:30,高能预警，谷歌神器一句话P图全网震动！PS直接淘汰，模特广告业不存在了？,谷歌Gemini 2.0 Flash引领图像生成技术新潮流,谷歌推出的Gemini 2.0 Flash以其一句话PS功能引发广泛关注，可能颠覆广告行业和模特市场。该技术具备强大的多模态图像生成能力，能够通过自然语言提示生成高质量图像，甚至取代Photoshop。文章探讨了Gemini 2.0 Flash的技术优势及其对行业的潜在影响，认为谷歌在AI领域的布局可能使其在AGI实现上领先于OpenAI。,Multimodal LLM,Google,None,https://mp.weixin.qq.com/s/tePb303_jJg3SFpylHrb4g
量子位,2025-03-17 15:42:08,李开复力推DeepSeek！零一万物发布模型一体机，搭载华为GPU，自家产品也全线替换了,李开复推动零一万物推出DeepSeek一体机解决方案,李开复领导的零一万物公司近日发布了万智企业大模型一站式平台，全面接入DeepSeek模型，旨在帮助企业快速部署和应用AI技术。该平台提供一体机部署方案，预装华为GPU和多种AI模型，支持企业定制和微调，降低了AI应用的门槛。李开复表示，2025年将是中国AI-First应用的崛起之年，零一万物为此目标迈出了重要一步。,LLM,Other,李开复,https://mp.weixin.qq.com/s/gztL3MRFyD-secBJQKzmBw
量子位,2025-03-17 15:42:08,新注意力让大模型上下文内存占用砍半！精度不减还能加速2倍,Slim Attention: A Memory-Efficient Attention Mechanism for Large Models,Slim Attention是一种新的注意力机制，由前苹果ASIC架构师Nils Graef和UC伯克利本科生Andrew Wasielewski提出，旨在减少大模型的上下文内存占用。该机制通过优化标准多头注意力中的value缓存处理，能够在不损失精度的情况下将内存需求减半或上下文翻倍。同时，Slim Attention在内存带宽受限的情况下可加速模型推理过程1.5-2倍，可能对模型训练和部署产生深远影响。,LLM,Other,"Nils Graef, Andrew Wasielewski",https://mp.weixin.qq.com/s/2avfeFbFWjjQOiQZjkHTUA
量子位,2025-03-17 15:42:08,招聘｜量子位智库AI分析师,量子位智库招聘AI分析师,量子位智库正在招聘AI分析师和助理分析师，聚焦于AIGC领域的行业研究和产品数据分析。AI分析师将负责撰写深度产业报告，跟踪AIGC的产学研进展，并组织相关研讨会；助理分析师则需收集和分析AI产品的用户数据和行业趋势。招聘要求包括强学习能力、逻辑分析能力及相关专业背景，欢迎实习生投递简历。,Other,Other,None,https://mp.weixin.qq.com/s/elnFLvBUuxVMHc8J1ufOAg
机器之心,2025-03-17 14:59:40,Long-CoT 后，推理模型的「思维模板」有哪些新玩法？,Long-CoT推理模型的新思维模板探索,本文探讨了基于长链思维（Long-CoT）的推理模型在复杂决策和数学证明等场景中的应用，分析了思维模板在推理模型后训练中的重要性及其优化方法。文章介绍了OpenAI、DeepSeek和Kimi等机构的研究成果，探讨了如何通过设计新的思维模板提高推理效率和能力上限。此外，还讨论了多模态推理模型的思维模板构建及其应用。整体上，研究表明长链思维的模板设计对推理模型的性能提升具有显著影响。,LLM,OpenAI,None,https://mp.weixin.qq.com/s/1UHMGO01NYlWnAT5ouiCPw
机器之心,2025-03-17 12:45:10,真正的AI智能体时代即将到来，我们发现了几点「苦涩的教训」,LLM智能体的挑战与未来展望,本文探讨了当前LLM智能体的发展及其面临的局限性。OpenAI和Claude Sonnet等新模型在网页搜索和编程任务中展现出增强的能力，但仍存在无法有效制定计划、记忆内容和长期执行任务的根本性问题。文章指出，过度依赖规则和提示词设计限制了智能体的自我优化能力，强调了强化学习与推理结合的重要性，以推动LLM智能体的真正进化。,Agent,OpenAI,William Brown,https://mp.weixin.qq.com/s/-lOj5naC2Yb3BD32YuUyOw
机器之心,2025-03-17 12:45:10,不是CG？没加速？这个国产机器人跳「斧头帮」舞火了，网友：流畅到不像真的,国产机器人PM01跳舞视频引发热议,机器之心报道了国产人形机器人PM01在社交媒体上因其流畅的舞蹈表演而受到广泛关注。该机器人在视频中跳的是周星驰电影《功夫》中的「斧头帮」舞，官方声明视频为一倍速实拍，未使用CG或加速效果。众擎机器人公司成立不到两年，已在机器人领域取得显著成就，PM01具备高动态和多自由度的特点，未来将在多场合展示其能力。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/f1TgyeDuhV2drCzOl_qwrg
机器之心,2025-03-17 12:45:10,北大团队提出LIFT：将长上下文知识注入模型参数，提升大模型长文本能力,LIFT: Improving Long Context Understanding of Large Language Models through Long Input Fine-Tuning,北京大学的研究团队提出了一种新的框架LIFT，旨在提升大语言模型在长文本任务中的能力。LIFT通过将长输入文本的知识注入模型参数中，解决了传统方法在处理长文本时的复杂度和长程依赖问题。该方法不仅提高了模型的推理能力，还通过动态调整模型参数来适应新的长输入文本，显著提升了在长上下文任务上的表现。,LLM,PKU,"毛彦升, 徐宇飞, 李佳琪, 孟繁续, 杨昊桐, 郑子隆, 王希元, 张牧涵",https://mp.weixin.qq.com/s/ONMw5t-veEDAgSmwnfSBWA
机器之心,2025-03-17 12:45:10,大模型怎么做好角色扮演？最大的真实数据集、SoTA开源模型、最深入的评估在这里,大语言模型在角色扮演中的应用与评估,王鑫涛及其团队提出了CoSER框架，旨在提升大语言模型在角色扮演中的表现。该框架包含当前最大的真实角色数据集、最先进的开源模型和深入的评估方法，解决了角色扮演AI面临的核心挑战。CoSER数据集从771本经典文学作品中提取真实对话，提供了多维度的角色表现数据。通过给定情境表演方法，训练和评估模型的角色扮演能力，展现了在多项评估中取得的领先成绩。,LLM,Other,"王鑫涛, 肖仰华, 汪卫, 王亨",https://mp.weixin.qq.com/s/KPCs80HXAhLuIANtIPnVBA
量子位,2025-03-17 12:37:02,深圳机器人致敬星爷《功夫》，完美复刻斧头帮舞,众擎机器人PM01复刻《功夫》斧头帮舞,众擎机器人PM01近日在社交媒体上引发热议，因其成功复刻了星爷经典电影《功夫》中的斧头帮舞。PM01以其灵活的动作和高自由度设计，展示了与人类动作几乎无异的表现，吸引了国内外网友的关注与讨论。除了舞蹈，PM01还因其前空翻技巧和跑步姿势视频而受到赞誉。众擎的另一款机器人SE01也因其出色的行走能力而受到关注。PM01的售价为8.8万元。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/5WgR8sqIcxMh58iVqm6iUA
量子位,2025-03-17 12:37:02,一手实测文心X1/4.5：又强又全面！歪果网友疯求英文版,文心大模型X1与4.5的性能评测与应用,百度在文心一言两周年之际推出了两款新模型：文心大模型X1和文心大模型4.5，均免费向用户开放。文心X1是首个自主运用工具的深度思考模型，具备强大的逻辑推理和多模态能力，支持多种工具调用。文心4.5则在多模态理解方面表现出色，能够处理图片、音频和视频。文章详细测试了这两款模型的性能，显示出其在中文知识问答、文学创作等领域的强大能力，引发了国际用户的关注。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/-EXkjxcZa0ZRVDhwcQoTUw
量子位,2025-03-17 12:37:02,低调平头哥，吹响先进存力商业化号角,平头哥在AI存储领域的创新与商业化进展,在MemoryS 2025存储峰会上，平头哥半导体产品总监周冠锋强调了提升先进存力的重要性，指出存储设备在AI基础设施中的关键作用。平头哥的镇岳510 SSD主控芯片已在阿里云EBS上线，显著提高了系统性能和用户体验。文章讨论了SSD在AI大模型训练和推理中的瓶颈及其解决方案，强调存储设备的性能提升对AI应用的经济性和效率的重要性。,Other,Alibaba,周冠锋,https://mp.weixin.qq.com/s/u_qxBFxPsC6rLd-_berSkQ
量子位,2025-03-17 12:37:02,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻找对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点在北京中关村。应聘者需具备相关领域的热情和能力，能够撰写深度文章并参与内容运营。量子位提供竞争力的薪资和丰富的职业发展机会。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/6t1uyHQVE776mNYyPi51hw
新智元,2025-03-17 12:32:21,2025年99%代码AI生成！OpenAI高管宣告没有退路，人类将被全面超越,AI在编程领域的未来展望：2025年99%代码将由AI生成,OpenAI首席产品官Kevin Weil在一次采访中预测，到2025年底，99%的编码将实现AI自动化，标志着AI在编程领域将永久超越人类。他讨论了AI编程的快速发展、未来就业形势以及AI如何重塑教育和创作过程。Weil指出，AI的推理能力和模型智能水平的提升是关键因素，并强调AI将解放程序员的时间，使他们能够专注于更具创造性的工作。,LLM,OpenAI,Kevin Weil,https://mp.weixin.qq.com/s/EawAPgfh-tWEmgsBWB873A
量子位,2025-03-17 10:21:40,CVPR'25跨模态因果对齐，让机器更懂视觉证据丨中大南洋理工等联合开源,跨模态因果对齐框架提升视频问答的可解释性与准确性,中山大学与新加坡南洋理工大学的研究团队提出了一种新的跨模态因果对齐框架（CRA），旨在提升视频问答任务中的时空定位准确性与可解释性。CRA通过因果干预和跨模态对齐，克服了现有模型依赖统计偏差的问题。该框架的三个核心模块分别聚焦于噪声抑制、特征对齐和因果关系建模，实验结果表明CRA在多个数据集上显著提高了模型性能。相关代码已开源，推动了视频问答领域的发展。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/wGSylM4QRjyHvTrPl0UGDg
