标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"DropletVideo: A Dataset and Approach to Explore Integral Spatio-Temporal
  Consistent Video Generation",DropletVideo：一个探索整体时空一致性视频生成的数据集与方法,Other,Other,https://arxiv.org/pdf/2503.06053,https://huggingface.co/papers/2503.06053,本论文提出了DropletVideo，一个新数据集和模型，旨在探索视频生成中的整体时空一致性。研究强调，生成的视频不仅需要确保情节的连贯性，还需在不同视角下保持对象和场景的视觉一致性。传统研究多集中于时间或空间一致性，而本研究考虑了情节发展与摄像技术之间的相互作用。作者构建了包含1000万段动态摄像和对象动作的视频数据集，并开发了DropletVideo模型，能够在视频生成中有效保持时空一致性。该数据集和模型可供研究人员使用，推动视频生成领域的进一步发展。,67
"Being-0: A Humanoid Robotic Agent with Vision-Language Models and
  Modular Skills",Being-0：具有视觉-语言模型和模块化技能的人形机器人代理,Embodied AI,Other,https://arxiv.org/pdf/2503.12533,https://huggingface.co/papers/2503.12533,本文介绍了Being-0，一个集成了视觉语言模型和模块化技能的类人机器人框架，旨在实现人类水平的自主任务执行。Being-0将高层认知任务（如指令理解和任务规划）与低层控制技能（如稳定的运动和灵巧的操作）相结合，采用一个新颖的连接模块来桥接这两者。该框架能够将语言指令转化为可执行的技能命令，并动态协调运动与操作，从而提高任务成功率。实验表明，Being-0在复杂的长时间任务中表现出色，展示了其在真实环境中的有效性和实时性能。,38
"DreamRenderer: Taming Multi-Instance Attribute Control in Large-Scale
  Text-to-Image Models",DreamRenderer：驯服大规模文本到图像模型中的多实例属性控制,Diffusion Model,Other,https://arxiv.org/pdf/2503.12885,https://huggingface.co/papers/2503.12885,论文介绍了DreamRenderer，一种基于FLUX模型的无训练方法，旨在解决现有图像生成模型在多实例内容控制方面的不足。DreamRenderer允许用户通过边界框或掩码精确控制每个实例的内容，同时保持整体视觉和谐。其核心创新包括使用桥接图像令牌确保文本嵌入与视觉属性的准确绑定，以及在关键层中应用硬属性绑定，以提高渲染精度。实验结果表明，DreamRenderer在COCO-POS和COCO-MIG基准上的图像成功率提高了17.7%，并显著提升了布局到图像模型的性能。,32
Edit Transfer: Learning Image Editing via Vision In-Context Relations,编辑转移：通过视觉上下文关系学习图像编辑,Other,Other,https://arxiv.org/pdf/2503.13327,https://huggingface.co/papers/2503.13327,本文提出了一种新方法“Edit Transfer”，通过单一的源-目标示例学习图像编辑转换，并将其应用于新的查询图像。与传统的基于文本的方法在处理精确几何细节时的局限性相比，Edit Transfer能够有效捕捉非刚性变换。该方法借鉴了大型语言模型中的上下文学习理念，采用视觉关系学习框架，通过将编辑示例与查询图像组合成四面板复合图，并应用轻量级的LoRA微调，成功实现了复杂空间变换。尽管仅使用42个训练样本，Edit Transfer在多种非刚性场景中显著超越了现有的最先进技术，展示了少量示例学习的有效性。,20
Personalize Anything for Free with Diffusion Transformer,使用扩散变换器免费个性化任何事物,Diffusion Model,THU,https://arxiv.org/pdf/2503.12590,https://huggingface.co/papers/2503.12590,本文提出了一种名为“Personalize Anything”的训练免费框架，基于扩散变换器（DiT），旨在实现个性化图像生成。该方法通过简单地用参考对象的去噪令牌替换，达成零-shot的主体重建，提升了个性化和图像编辑的灵活性。框架采用时间步自适应的令牌替换和补丁扰动策略，以增强主体一致性和结构多样性，支持多主题个性化、布局引导生成和掩膜控制编辑。评估结果显示，该方法在身份保留和多样性方面表现优越，为高效个性化提供了新的实用范式。,19
"BlobCtrl: A Unified and Flexible Framework for Element-level Image
  Generation and Editing",BlobCtrl: 一种统一且灵活的元素级图像生成与编辑框架,Diffusion Model,PKU,https://arxiv.org/pdf/2503.13434,https://huggingface.co/papers/2503.13434,本文提出了BlobCtrl，一个统一且灵活的框架，用于元素级图像生成和编辑。通过采用基于概率的blob表示，BlobCtrl有效地解耦了空间位置、语义内容和身份信息，从而实现精确的视觉元素操作。其主要贡献包括：1) 双分支扩散架构，促进前景与背景的无缝融合；2) 自监督训练范式，结合定制的数据增强和评分函数；3) 可控的dropout策略，平衡图像的真实感与多样性。实验结果表明，BlobCtrl在多种元素级操作中表现优异，提供了一种高效的视觉内容创作解决方案。,15
"WideRange4D: Enabling High-Quality 4D Reconstruction with Wide-Range
  Movements and Scenes",WideRange4D：支持广泛运动和场景的高质量4D重建,Other,PKU,https://arxiv.org/pdf/2503.13435,https://huggingface.co/papers/2503.13435,本文提出了WideRange4D，一个新的4D重建基准，旨在解决现有方法在广泛空间运动场景中的局限性。现有的4D重建技术主要在有限场景中表现良好，但在处理大范围运动时效果欠佳。WideRange4D包含丰富的4D场景数据，允许对4D生成方法的能力进行更全面的评估。此外，作者还提出了一种新方法Progress4D，能够在复杂的4D场景重建任务中生成稳定且高质量的结果。实验证明，Progress4D在性能上超越了现有的最先进方法，推动了4D重建技术的发展。,14
"reWordBench: Benchmarking and Improving the Robustness of Reward Models
  with Transformed Inputs",reWordBench：基准测试和提高奖励模型在变换输入下的鲁棒性,Other,Meta,https://arxiv.org/pdf/2503.11751,https://huggingface.co/papers/2503.11751,本论文提出了reWordBench，一个用于评估和提升奖励模型（RM）鲁棒性的框架。研究表明，尽管现有的奖励模型在标准基准上表现优异，但它们在面对微小输入变化时常表现出显著的性能下降，显示出脆弱性。为了解决这一问题，作者建议通过显式训练模型对同义句赋予相似分数，从而增强模型的鲁棒性。实验结果显示，经过改进的奖励模型在处理不同输入转换时，性能衰退减少近一半，并在对齐任务中展现出更高的输出质量，胜过标准训练的模型。,12
"MicroVQA: A Multimodal Reasoning Benchmark for Microscopy-Based
  Scientific Research",MicroVQA：一种用于显微镜基础科学研究的多模态推理基准,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13399,https://huggingface.co/papers/2503.13399,本论文提出了MicroVQA，一个针对显微镜生物学研究的多模态推理基准，旨在评估科学研究中关键的推理能力，包括图像理解、假设生成和实验设计。MicroVQA包含1042道由生物学专家精心策划的多项选择题，确保其代表真实的科学实践。研究发现，传统的题目生成方法存在语言捷径，因此采用了新的两阶段生成流程。通过对现有多模态大语言模型的评估，研究显示模型在推理方面面临挑战，尤其是感知错误最为常见。这一基准为推动AI在生物医学研究中的应用提供了重要资源。,11
Multimodal Chain-of-Thought Reasoning: A Comprehensive Survey,多模态链式思维推理：全面调查,Multimodal LLM,Other,https://arxiv.org/pdf/2503.12605,https://huggingface.co/papers/2503.12605,本论文对多模态链式思维推理（MCoT）进行了系统性综述，探讨了其在多模态大语言模型中的应用与挑战。MCoT推理通过人类般的逐步思考过程，解决了图像、视频、语音等多种数据形式的独特问题，已在机器人、医疗、自动驾驶等领域取得显著成效。尽管如此，该领域仍面临许多挑战，亟需进一步研究。本文提供了MCoT的基础概念、分类及现有方法的深入分析，并展望了未来研究方向，旨在推动多模态通用人工智能的发展。,11
