标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Video-R1: Reinforcing Video Reasoning in MLLMs,Video-R1：在多模态大语言模型中强化视频推理,Multimodal LLM,Other,https://arxiv.org/pdf/2503.21776,https://huggingface.co/papers/2503.21776,本文介绍了Video-R1，这是首个系统性探索多模态大语言模型（MLLMs）中视频推理的尝试。针对直接应用强化学习（RL）训练在视频推理中面临的时间建模不足和高质量视频推理数据稀缺的问题，提出了T-GRPO算法，以鼓励模型利用视频中的时间信息进行推理。同时，结合高质量的图像推理数据，构建了两个数据集用于训练。实验结果表明，Video-R1在多个视频推理基准测试中表现显著提升，尤其在视频空间推理基准VSI-bench上，Video-R1-7B模型的准确率达到35.8%，超越了商业模型GPT-4o。所有代码和数据均已公开。,51
"UI-R1: Enhancing Action Prediction of GUI Agents by Reinforcement
  Learning",UI-R1：通过强化学习增强GUI智能体的动作预测,Multimodal LLM,Other,https://arxiv.org/pdf/2503.21620,https://huggingface.co/papers/2503.21620,本文提出了UI-R1模型，首次利用基于规则的强化学习（RL）提升多模态大语言模型（MLLMs）在图形用户界面（GUI）动作预测任务中的推理能力。研究者们构建了一个包含136个高质量任务的小型数据集，并引入统一的规则基础奖励，采用政策优化算法进行模型训练。实验结果显示，UI-R1-3B模型在内外域任务上均显著提升准确率，在AndroidControl基准测试中，动作类型准确率提高了15%，而在ScreenSpot-Pro基准测试中超越了基线模型6%。这些成果展示了基于规则的强化学习在GUI理解和控制方面的潜力，为未来研究奠定了基础。,34
"Challenging the Boundaries of Reasoning: An Olympiad-Level Math
  Benchmark for Large Language Models",挑战推理的边界：大型语言模型的奥林匹克级数学基准,LLM,OpenAI,https://arxiv.org/pdf/2503.21380,https://huggingface.co/papers/2503.21380,本论文提出了OlymMATH，一个全新的奥林匹克级数学基准，旨在严谨测试大型语言模型（LLMs）的复杂推理能力。OlymMATH包含200个经过精心挑选的问题，分为两类难度：AIME级（简单）和更具挑战性的难题（困难），覆盖四个核心数学领域，并提供可验证的数值解以支持客观评估。实证结果显示，当前先进模型在困难题组上的表现有限。此外，该基准支持中英文双语评估，填补了主流数学推理基准的空白。OlymMATH基准已在STILL项目中发布。,28
"VBench-2.0: Advancing Video Generation Benchmark Suite for Intrinsic
  Faithfulness",VBench-2.0：推进视频生成基准套件以实现内在真实性,Other,Other,https://arxiv.org/pdf/2503.21755,https://huggingface.co/papers/2503.21755,VBench-2.0是一个新一代视频生成基准，旨在评估视频生成模型的内在真实性。尽管现有模型在视觉效果和时间一致性上取得了进展，但仍缺乏对现实世界原则的遵循。VBench-2.0通过五个关键维度（人类保真度、可控性、创造力、物理规律和常识）来评估生成视频的真实性，提供了一个更全面的评价框架。该基准结合了最新的语言模型和异常检测方法，并通过大量注释确保与人类判断的一致性，推动视频生成技术向更高的真实水平发展，适用于AI辅助电影制作和模拟世界建模等应用。,25
"LeX-Art: Rethinking Text Generation via Scalable High-Quality Data
  Synthesis",LeX-Art：通过可扩展高质量数据合成重新思考文本生成,Multimodal LLM,Other,https://arxiv.org/pdf/2503.21749,https://huggingface.co/papers/2503.21749,"本文介绍了LeX-Art，一套旨在提升文本图像合成质量的综合工具。通过构建基于Deepseek-R1的数据合成管道，创建了包含10,000张高分辨率图像的LeX-10K数据集。此外，开发了LeX-Enhancer模型以丰富提示，并训练了两个文本到图像模型LeX-FLUX和LeX-Lumina，均实现了领先的文本渲染性能。为系统评估视觉文本生成，提出了LeX-Bench基准和新的文本准确性评估指标PNED。实验结果显示，LeX-Lumina在CreateBench上获得了79.81%的PNED提升，LeX-FLUX在颜色、位置和字体准确性方面均超过了基线。所有代码、模型和数据集均已公开。",17
"Large Language Model Agent: A Survey on Methodology, Applications and
  Challenges",大型语言模型智能体：方法论、应用与挑战的综述,Agent,Other,https://arxiv.org/pdf/2503.21460,https://huggingface.co/papers/2503.21460,本论文对大型语言模型（LLM）智能体进行了全面的调查，探讨其方法论、应用及面临的挑战。作者通过建立一个以方法为中心的分类系统，系统性地分析了LLM智能体的架构基础、协作机制和演变路径。研究揭示了设计原则与复杂环境中智能体行为之间的基本联系，提供了一个统一的视角，涵盖了智能体的构建、协作与演化过程。此外，论文还讨论了评估方法、工具应用及实际挑战，为未来研究指明了方向。该研究为理解LLM智能体提供了结构化的框架，促进了相关领域的进一步探索。,17
"ReaRAG: Knowledge-guided Reasoning Enhances Factuality of Large
  Reasoning Models with Iterative Retrieval Augmented Generation",ReaRAG：知识引导推理增强大型推理模型的事实性与迭代检索增强生成,LLM,Other,https://arxiv.org/pdf/2503.21729,https://huggingface.co/papers/2503.21729,本论文提出了ReaRAG模型，旨在提高大型推理模型（LRMs）的事实准确性。尽管LRMs具备出色的推理能力，但其依赖参数知识，导致在问答任务中表现受限。ReaRAG通过引入一种新颖的数据构建框架，限制推理链的长度，优化了推理过程，减少了过度思考。模型通过生成有意识的思考并从预定义的动作空间中选择行动（搜索或完成），以此迭代进行推理，直到确定答案。实验表明，ReaRAG在多跳问答任务中超越了现有基线，并展现出强大的错误识别与推理轨迹优化能力，从而有效提升了LRMs的事实性和推理的稳健性。,15
"ResearchBench: Benchmarking LLMs in Scientific Discovery via
  Inspiration-Based Task Decomposition",ResearchBench：通过基于灵感的任务分解对大语言模型在科学发现中的基准评估,LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.21248,https://huggingface.co/papers/2503.21248,本论文提出了ResearchBench，一个针对大型语言模型（LLMs）在科学发现中的表现进行评估的首个大规模基准。研究通过灵感检索、假设构建和假设排序三个子任务，构建了一个自动化框架，从2024年发表的科学论文中提取关键组件，并经专家验证其准确性。评估结果显示，LLMs在灵感检索任务中表现良好，表明其能够发现新颖的知识关联。这一研究为LLMs在自动化科学发现中的应用奠定了基础，展示了其生成创新假设的潜力。,13
Lumina-Image 2.0: A Unified and Efficient Image Generative Framework,Lumina-Image 2.0：一个统一且高效的图像生成框架,Multimodal LLM,Other,https://arxiv.org/pdf/2503.21758,https://huggingface.co/papers/2503.21758,Lumina-Image 2.0是一种先进的文本到图像生成框架，相较于前作Lumina-Next取得了显著进展。该框架基于两个核心原则：统一性和效率。它采用统一架构（Unified Next-DiT），将文本和图像视为联合序列，促进跨模态交互，并引入统一的图像描述系统（UniCap），提升描述的准确性和生成速度。此外，通过多阶段训练策略和推理加速技术，Lumina-Image 2.0在仅有2.6亿参数的情况下，仍能在多个基准测试中表现出色，展现了其可扩展性和设计效率。相关代码和模型已在GitHub上发布。,12
"Embodied-Reasoner: Synergizing Visual Search, Reasoning, and Action for
  Embodied Interactive Tasks",具身推理器：协同视觉搜索、推理与行动以应对具身交互任务,Embodied AI,Alibaba,https://arxiv.org/pdf/2503.21696,https://huggingface.co/papers/2503.21696,本文提出了“Embodied Reasoner”模型，旨在解决在需要与环境持续互动的任务中进行视觉搜索和推理的挑战。该模型通过合成9.3千条观察-思考-行动的轨迹，包含64千张互动图像和90千种思维过程，来提升其空间理解、时间推理和自我反思能力。采用三阶段训练流程，模型在模仿学习、自我探索和反思调优中逐步增强。评估结果显示，Embodied Reasoner在复杂任务中显著超越现有的视觉推理模型，表现出更少的重复搜索和逻辑不一致，展现了在真实环境中的优势。,12
