公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-27 10:05:26,凌晨2点，再次Open！奥特曼宣布：OpenAI正式支持对手MCP协议,OpenAI支持MCP协议，推动AI工作流标准化,OpenAI宣布其Agents SDK正式支持Anthropic推出的MCP协议，旨在提升ChatGPT桌面版的功能和用户体验。MCP协议允许AI模型从多种数据源获取信息，促进开发者与AI应用之间的双向连接。自MCP开源以来，已有众多公司支持该协议，形成了一个快速增长的生态系统。OpenAI的加入被视为推动AI标准化的重要一步，降低了对特定框架的依赖，使开发者能够灵活使用各种工具。,Agent,OpenAI,"Sam Altman, Mike Krieger, 李国豪",https://mp.weixin.qq.com/s/O0pbyFaIXfqT_35A73rU_g
机器之心,2025-03-27 09:18:22,清华稀疏Attention，无需训练加速一切模型！,清华大学提出的稀疏Attention加速模型推理,清华大学陈键飞团队提出了一种新的稀疏Attention（SpargeAttn）机制，旨在加速长序列模型的推理过程。该方法无需训练，能够在语言、视频和图像生成等任务中实现4-7倍的推理加速，同时保持端到端的精度。SpargeAttn通过对Q、K矩阵进行压缩并预测稀疏部分，结合量化技术，显著提高了计算效率，解决了传统Attention在长序列任务中的计算瓶颈问题。,LLM,THU,None,https://mp.weixin.qq.com/s/uDpCOeITwsQRjC4V7LRNHw
机器之心,2025-03-27 09:18:22,阿里深夜开源Qwen2.5-Omni，7B参数完成看、听、说、写,阿里开源Qwen2.5-Omni多模态大模型,阿里通义千问团队于2025年3月27日发布了Qwen2.5-Omni，这是一个全新的多模态大模型，支持文本、图像、音频和视频的无缝处理。该模型采用Thinker-Talker架构，能够实现实时语音和视频聊天，并在多模态任务中展现出卓越的性能。Qwen2.5-Omni-7B已开源，开发者和企业可以免费下载并部署于智能硬件上，推动多模态AI的发展。,Multimodal LLM,Alibaba,None,https://mp.weixin.qq.com/s/BZv7tuMX6yZr5LvqKZBJCw
量子位,2025-03-27 08:45:04,人形机器人主持发布会发布自己！追觅科技孵化，下月将参加全球首届人形机器人马拉松,人形机器人小麦在发布会上展示其工业与商业应用,魔法原子推出了新的人形机器人小麦，该机器人在发布会上展示了其在工业和商业领域的应用能力。小麦具备11个自由度的灵巧手，能够在工厂进行物料搬运和产品检测，并在商业环境中提供个性化服务。公司计划在未来一年内推出400台人形机器人，并与追觅科技合作，通过真实数据不断优化其智能模型。小麦的目标是成为日常生活中的智能助手。,Embodied AI,Other,吴长征,https://mp.weixin.qq.com/s/wUTnBGUMNMHr7AvicZvPDg
量子位,2025-03-27 08:45:04,招聘｜量子位智库AI分析师,量子位智库招聘AI分析师,量子位智库正在招聘AI分析师和助理分析师，聚焦于AIGC（生成式人工智能内容）领域的行业研究与产品数据分析。AI分析师需撰写深度产业报告，跟踪产学研进展，并组织相关研讨会；助理分析师则负责收集和分析AI产品数据，支持团队数据库的更新。招聘面向具备相关背景和技能的应聘者，工作地点在北京中关村。,Other,Other,None,https://mp.weixin.qq.com/s/FWn5USeINkN9rwciPLLGXg
量子位,2025-03-27 12:16:46,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻求对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点在北京中关村。应聘者需具备对AI领域的热情、良好的文字表达能力及信息搜集能力。招聘提供竞争力薪资及丰富的职业发展机会，旨在吸引志同道合的科技爱好者加入团队。,Other,Other,None,https://mp.weixin.qq.com/s/SkRyLmvskSZzVDs6wt534w
量子位,2025-03-27 12:16:46,英伟达要买下贾扬清公司LeptonAI！老黄花数亿美元加码算力租赁,英伟达收购LeptonAI以增强算力租赁业务,英伟达计划以数亿美元收购贾扬清创办的LeptonAI，后者专注于为企业提供高效的AI应用平台，简化AI模型的部署。LeptonAI成立于2023年，创始团队来自阿里巴巴，致力于通过工程化和开源推动AI的应用。此次收购旨在帮助英伟达多元化经营，减少对大客户的依赖，同时增强其在云计算和算力租赁领域的布局。,Other,"Alibaba, Meta","贾扬清, 白俊杰",https://mp.weixin.qq.com/s/ozD_0iCOjz_osqjDMoYxWw
量子位,2025-03-27 12:16:46,长视频理解新突破！Mamba混合架构让显存消耗腰斩，处理10万视频token不费力,Mamba混合架构在长视频理解中的应用与效率提升,Vamba团队提出了一种新的Mamba-Transformer混合模型，旨在提高长视频理解的效率。该模型通过改进架构设计，显著降低了显存消耗和计算复杂度，能够在同等硬件条件下处理更多视频帧。实验结果表明，Vamba在长视频理解任务中相较于传统模型提升了4.3%的性能，同时保持了视频的时空特征，避免了信息丢失。该模型的代码和权重已开源，供研究社区进一步探索。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/eGBF_jJqmpwNT6D-t0BK5Q
量子位,2025-03-27 12:16:46,Agent太火！看这一篇综述，知识就不会学杂了丨华东师大&东华大学出品,大模型智能体的优化方法综述,华东师大与东华大学的研究团队发表了一篇关于大模型智能体（LLM Agent）优化的综述，系统梳理了现有的优化策略，分为参数驱动和参数无关两大类。文章探讨了微调、强化学习等方法的关键模块，并回顾了LLM Agent在多个领域的应用实践。研究指出，LLM Agent在长程规划和动态适应能力上存在挑战，强调了优化开源LLM的重要性。综述填补了LLM智能体优化作为独立研究方向的空白。,Agent,Other,None,https://mp.weixin.qq.com/s/nTf0eAgXgO7seY-MyEvuSA
量子位,2025-03-27 12:16:46,7B模型搞定AI视频通话，阿里最新开源炸场，看听说写全模态打通，开发者企业免费商用,阿里开源全模态大模型Qwen2.5-Omni-7B,阿里巴巴发布并开源了首个端到端全模态大模型Qwen2.5-Omni-7B，该模型支持文本、音频、图像和视频的实时交互，展现出卓越的多模态处理能力。Qwen2.5-Omni-7B在多模态任务评测中表现优异，且具备与人类相当的语音合成能力。该模型采用创新的Thinker-Talker双核架构，能够高效处理多种输入信息，并以流畅的方式生成响应，现已开放给开发者和企业免费商用。,Multimodal LLM,Alibaba,None,https://mp.weixin.qq.com/s/VkJP89bpgZaxaKz-1wav9A
