公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-03-25 08:59:28,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘信息，寻求对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的原创作者。招聘岗位包括AI大模型方向、具身智能机器人方向、终端硬件方向及AI新媒体编辑，工作地点在北京中关村。应聘者需具备相关领域的热情和能力，量子位提供竞争力薪资、行业人脉拓展及专业指导等福利。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/2ieUo7dYpOLdR5TPsJpsuw
量子位,2025-03-25 08:59:28,DeepSeek V3“小版本升级”实测堪比V3.5，非推理模型也有“啊哈时刻”，7米甘蔗过2米门想通了,DeepSeek V3-0324版本升级评测,DeepSeek V3-0324的升级被称为“小版本升级”，但实测结果显示其性能显著提升，尤其在处理复杂问题时展现出更强的思维能力。该模型在非推理任务中表现出色，能够自主回溯并重新思考问题，尽管仍有改进空间。DeepSeek V3-0324继续保持开源和免费，权重文件已在HuggingFace上线，用户可通过官网和APP体验新版本。期待未来更大版本的更新。,LLM,Other,None,https://mp.weixin.qq.com/s/DeqYqe5vBIFF7jj6OfH8AA
量子位,2025-03-25 08:59:28,32B本地部署！阿里开源最新多模态模型：主打视觉语言，数学推理也很强,阿里开源多模态模型Qwen2.5-VL-32B，增强视觉语言和数学推理能力,阿里巴巴发布了最新的多模态模型Qwen2.5-VL-32B-Instruct，该模型支持本地部署，具备32B参数。相较于之前的版本，Qwen2.5-VL-32B在回答人类偏好、数学推理和图像解析等方面有显著提升。模型在多个基准测试中表现出色，甚至超过了更大规模的模型。Qwen2.5-VL-32B现已开源，并可在Hugging Face和Qwen Chat上体验。,Multimodal LLM,Alibaba,None,https://mp.weixin.qq.com/s/vbMm5HAiqc-GpM1yuYas7w
量子位,2025-03-25 08:59:28,一文看懂多模态思维链,多模态思维链（MCoT）系统综述,本文综述了多模态思维链（MCoT）系统的基本概念、分类法及其在不同应用中的现有方法分析。MCoT能够处理图像、视频、音频等多种信息，提升AI的推理能力，接近人类思维方式。文章还探讨了MCoT的核心方法论、应用实例及未来发展挑战，强调其在机器人、自动驾驶、医疗等领域的潜在影响。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/79_m3S2aAi5bcnIUeUlcYw
新智元,2025-03-25 08:56:48,DeepSeek-V3深夜惊爆上新！代码数学飙升剑指GPT-5，一台Mac可跑,DeepSeek-V3发布：参数量685B的代码数学推理能力显著提升,新智元报道，DeepSeek-V3于2025年3月24日上线，参数量为6850亿，代码和数学推理能力显著提升，甚至追平Claude 3.7。新模型采用MIT开源协议，支持自由修改和商业化应用。尽管未公布系统卡，用户反馈显示DeepSeek-V3在多项基准测试中表现优异，成为非推理类模型中的佼佼者。该模型可在消费级设备上运行，吸引了广泛关注。,LLM,Other,Awni Hannun,https://mp.weixin.qq.com/s/6Cs3C53Tv0m8JpEk03FrrA
新智元,2025-03-25 08:56:48,爆火Block Diffusion引发LLM架构变革？自回归+扩散模型完美结合 | ICLR 2025,块离散去噪扩散语言模型（BD3-LMs）结合自回归与扩散模型的研究,本文介绍了块离散去噪扩散语言模型（BD3-LMs），该模型结合了自回归模型和扩散模型的优点，解决了现有扩散模型在生成长度、推理效率和生成质量上的局限性。研究表明，BD3-LMs能够生成任意长度的序列，并在离散扩散模型中实现了新的最低困惑度。该模型通过优化噪声调度和利用键值缓存，提高了生成效率和质量，展示了在语言建模任务中的潜力。,LLM,Other,None,https://mp.weixin.qq.com/s/GNpYNXbtogyZGyrHl6Ihmw
新智元,2025-03-25 08:56:48,Nature：科研人员最爱AI工具大盘点！从推理到编程，哪款才是最佳助手？,科研人员青睐的AI工具盘点,本文介绍了当前科研人员最喜爱的AI模型，包括推理模型o3-mini、全能型DeepSeek-R1、常用的Llama、编程工具Claude 3.5 Sonnet和开源模型Olmo 2。各模型在科研中的应用和优势被详细分析，强调了AI工具在解决复杂问题和提升科研效率方面的潜力。研究人员分享了他们的使用体验，指出不同模型在推理、编程和数据处理等领域的表现。,LLM,"OpenAI, Meta","Simon Frieder, Andrew White, Benyou Wang, Tianlong Chen",https://mp.weixin.qq.com/s/rK9-jPNx6jzi9Djte6qZbw
机器之心,2025-03-25 08:34:32,棋盘变战场，大模型却呆了？普林斯顿、UT Austin新基准SPIN-Bench曝AI智商瓶颈,SPIN-Bench: Evaluating AI Strategic Planning and Social Reasoning,"Recent research from Princeton and UT Austin introduces SPIN-Bench, a new benchmark that highlights the limitations of large language models (LLMs) in strategic planning and social reasoning tasks. Despite their impressive capabilities in text generation and simple interactions, models like GPT-4 and Claude 3.5 struggle in complex scenarios involving negotiation and multi-agent environments. The SPIN-Bench framework assesses LLMs across various dimensions, revealing significant gaps in their performance when faced with real-world strategic challenges.",LLM,Other,None,https://mp.weixin.qq.com/s/lJP03UX8bbgAP-Ezissb6g
机器之心,2025-03-25 08:34:32,DeepSeek V3深夜低调升级，代码进化令人震惊，网友实测可媲美Claude 3.5/3.7 Sonnet,DeepSeek V3升级评测：代码能力超越Claude 3.5/3.7,DeepSeek V3于2025年3月24日进行了低调升级，版本号为DeepSeek-V3-0324。新版本在Hugging Face上可供下载，参数达到6850亿，支持MIT开源协议。用户测试显示，DeepSeek-V3-0324在数学推理和前端开发方面的表现优于Claude 3.5和Claude 3.7 Sonnet，能够生成高质量的HTML5和CSS代码。早期反馈认为其代码能力在开源模型中表现突出，甚至可以与OpenAI的o1-pro相媲美，且价格更具竞争力。,LLM,Other,None,https://mp.weixin.qq.com/s/2Is-y_kvuKzzBM39NJWx9w
机器之心,2025-03-25 12:09:00,Uni-3DAR用自回归统一微观与宏观的3D世界，性能超扩散模型256%，推理快21.8倍,Uni-3DAR: A Unified Framework for 3D Structure Generation and Understanding,"Uni-3DAR is a groundbreaking model developed by DeepMind, Beijing Academy of Science and Technology, and Peking University that integrates the generation and understanding of 3D structures through autoregressive token prediction. This model achieves a 256% performance improvement over existing diffusion models and accelerates inference speed by 21.8 times. By employing a coarse-to-fine tokenization method, Uni-3DAR addresses the challenges of inconsistent data representation and task unification in 3D modeling, making significant strides in both microscopic and macroscopic applications.",Other,Other,"柯国霖, 鄂维南, 张林峰",https://mp.weixin.qq.com/s/UFRUqLZ0rMgIy-5p_7zHaQ
