标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
CCDP: Composition of Conditional Diffusion Policies with Guided Sampling,CCDP：带引导采样的条件扩散策略组合,19 Mar 2025,Diffusion Model,Other,https://arxiv.org/pdf/2503.15386,https://www.arxiv.org/abs/2503.15386,https://www.alphaxiv.org/abs/2503.15386,本论文提出了一种名为CCDP的增强采样策略，旨在改善模仿学习中的动作选择效率。通过利用成功演示的数据，CCDP能够在机器人执行动作失败时，动态调整采样空间，避免重复无效的尝试。该方法将复杂的失败处理问题分解为多个小问题，从而简化学习和推理过程，提升了系统在各种任务中的适应能力，如开门、物体操作和按钮搜索等。实验结果表明，CCDP在效率和性能上优于传统基线方法，为机器人在不确定环境中的自主决策提供了新的思路。,9
Effortless Active Labeling for Long-Term Test-Time Adaptation,轻松主动标注用于长期测试时适应,18 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.14564,https://www.arxiv.org/abs/2503.14564,https://www.alphaxiv.org/abs/2503.14564,本论文提出了一种名为Effortless Active Labeling for Long-Term Test-Time Adaptation（EATTA）的方法，旨在降低长期测试时间适应（TTA）中的标注成本。通过在每个批次中仅选择一个样本进行标注，EATTA有效减轻了标注负担。研究者提出了一种基于单步优化的样本选择策略，优先标注在源域和目标域数据分布边界的样本，并引入动态权重平衡标注与未标注样本对模型优化的影响。实验结果表明，EATTA在多个数据集上表现优于现有方法，同时显著降低了标注需求。,8
H2ST: Hierarchical Two-Sample Tests for Continual Out-of-Distribution Detection,H2ST：用于持续分布外检测的层次化双样本测试,19 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.14832,https://www.arxiv.org/abs/2503.14832,https://www.alphaxiv.org/abs/2503.14832,本文提出了一种新颖的持续性异常检测方法——分层两样本检验（H2ST），旨在解决任务增量学习中的开放世界场景下的异常样本检测问题。传统方法在假设测试和阈值选择上存在局限，难以有效处理来自不同分布的样本。H2ST通过利用特征图和分层架构，消除了对阈值选择的依赖，并实现了任务级别的检测，显著提升了检测性能和效率。实验结果表明，H2ST在开放世界任务增量学习中优于现有方法，具有更好的适应性和准确性。,5
Test-Time Backdoor Detection for Object Detection Models,针对目标检测模型的测试时后门检测,19 Mar 2025,Other,Other,https://arxiv.org/pdf/2503.15293,https://www.arxiv.org/abs/2503.15293,https://www.alphaxiv.org/abs/2503.15293,本论文提出了一种新方法TRACE（Transformation Consistency Evaluation）用于在测试时检测物体检测模型中的后门攻击。研究发现，受污染的样本在不同背景下的检测结果一致性显著高于干净样本，而干净样本在不同焦点信息下显示出更高的一致性。TRACE通过对测试样本进行前景和背景转换，并计算对象置信度的方差来评估一致性，从而实现黑箱、通用的后门检测。实验表明，TRACE在检测性能上比现有方法提高了30%的AUROC，并能抵御自适应攻击，为实际应用中的模型安全提供了有效的防护措施。,3
Tokenize Image as a Set,将图像标记为集合,20 Mar 2025,Diffusion Model,Tencent,https://arxiv.org/pdf/2503.16425,https://www.arxiv.org/abs/2503.16425,https://www.alphaxiv.org/abs/2503.16425,本论文提出了一种全新的图像生成范式，采用基于集合的标记化和分布建模方法。与传统的序列化方法不同，研究者引入了无序的标记集合表示，动态分配编码容量以应对区域语义复杂性。这种方法提升了全局信息聚合能力，并增强了对局部扰动的鲁棒性。为了解决离散集合建模的挑战，论文开发了一种双重转换机制，将集合转换为固定长度的整数序列，并提出了固定和离散扩散模型，实现了对结构化数据的有效建模。实验结果表明，该方法在语义感知表示和生成质量上优于现有技术，推动了视觉生成领域的发展。,1
MagicMotion: Controllable Video Generation with Dense-to-Sparse Trajectory Guidance,MagicMotion：基于稠密到稀疏轨迹指导的可控视频生成,20 Mar 2025,Other,Microsoft,https://arxiv.org/pdf/2503.16421,https://www.arxiv.org/abs/2503.16421,https://www.alphaxiv.org/abs/2503.16421,论文《MagicMotion: Controllable Video Generation with Dense-to-Sparse Trajectory Guidance》提出了一种新的视频生成框架MagicMotion，支持用户通过不同级别的轨迹控制（包括掩码、边界框和稀疏框）来精确控制对象运动。该方法解决了现有技术在复杂运动和多对象控制中的不足，保持了视觉质量和对象一致性。此外，论文还介绍了一个名为MagicData的大规模轨迹控制视频数据集和一个评估基准MagicBench，以促进系统性评估和训练。实验结果表明，MagicMotion在多项指标上优于现有方法，推动了可控视频生成领域的发展。,1
Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,停止过度思考：大语言模型高效推理的调查,20 Mar 2025,LLM,Other,https://arxiv.org/pdf/2503.16419,https://www.arxiv.org/abs/2503.16419,https://www.alphaxiv.org/abs/2503.16419,本论文调查了大语言模型（LLMs）中高效推理的最新进展，特别关注“过度思考现象”所带来的冗长推理步骤问题。作者系统性地分类现有研究，提出三种高效推理方向：基于模型的推理优化、推理输出的动态调整以及输入提示的有效利用。通过优化推理长度，论文旨在提高推理效率，降低计算成本，同时保持准确性。此外，作者还探讨了小型语言模型的推理能力和评估方法，并建立了一个公共资源库，以持续跟踪该领域的研究进展。这为未来的研究和应用开发提供了宝贵的见解。,0
Survey on Evaluation of LLM-based Agents,基于LLM的智能体评估调查,20 Mar 2025,Agent,Other,https://arxiv.org/pdf/2503.16416,https://www.arxiv.org/abs/2503.16416,https://www.alphaxiv.org/abs/2503.16416,本文对基于大型语言模型（LLM）的智能体评估方法进行了全面调查，分析了其在规划、自我反思和工具使用等基本能力方面的评估基准。研究涵盖了应用特定的基准、通用智能体的评估框架，并揭示了评估方法的最新趋势，如向更具挑战性和现实性的评估转变。作者指出当前评估中的关键空白，特别是在成本效益、安全性和鲁棒性方面，并提出未来研究的方向。该调查为开发者、从业者和研究人员提供了重要的参考，推动了LLM智能体评估领域的发展。,0
Exploring the Hidden Reasoning Process of Large Language Models by Misleading Them,通过误导探索大语言模型的隐藏推理过程,20 Mar 2025,LLM,THU,https://arxiv.org/pdf/2503.16401,https://www.arxiv.org/abs/2503.16401,https://www.alphaxiv.org/abs/_2503.16401,本论文提出了一种新颖的实验方法——误导性微调（MisFT），以探讨大型语言模型（LLMs）和视觉语言模型（VLMs）是否能进行类似人类的抽象推理，而不仅仅是依赖记忆和模式匹配。研究通过构建包含错误数学规则的数据集，对模型进行微调，观察其在不同测试领域的推理能力。实验结果表明，这些模型能够有效应用这些矛盾规则解决实际数学问题，暗示其内部存在抽象推理机制。这一发现为理解LLMs和VLMs的推理过程提供了新的视角。,0
Deconstructing Long Chain-of-Thought: A Structured Reasoning Optimization Framework for Long CoT Distillation,解构长链思维：用于长链思维蒸馏的结构化推理优化框架,20 Mar 2025,LLM,Alibaba,https://arxiv.org/pdf/2503.16385,https://www.arxiv.org/abs/2503.16385,https://www.alphaxiv.org/abs/2503.16385,本文提出了一种名为DLCoT（Deconstructing Long Chain-of-Thought）的框架，以优化长链推理的知识蒸馏过程。研究表明，现有的蒸馏方法在不同模型间的有效性存在显著下降，挑战了其普遍适用性。DLCoT通过数据分段、简化和优化中间错误状态，提升了模型的性能和效率。该研究为提高大型语言模型（LLMs）的推理能力提供了新的思路，尤其是在资源有限的情况下，推动了更高效的模型训练方法。研究结果显示，长链推理的蒸馏在不同模型之间的知识转移具有优势，为未来的研究奠定了基础。,0
